Geography,Geographic Area Name,Estimate!!Total!!All households,Margin of Error!!Total!!All households,Estimate!!Total!!All households!!Households speaking --!!Spanish,Margin of Error!!Total!!All households!!Households speaking --!!Spanish,Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages,Margin of Error!!Total!!All households!!Households speaking --!!Other Indo-European languages,Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages,Margin of Error!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages,Estimate!!Total!!All households!!Households speaking --!!Other languages,Margin of Error!!Total!!All households!!Households speaking --!!Other languages,Estimate!!Percent!!All households,Margin of Error!!Percent!!All households,Estimate!!Percent!!All households!!Households speaking --!!Spanish,Margin of Error!!Percent!!All households!!Households speaking --!!Spanish,Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages,Margin of Error!!Percent!!All households!!Households speaking --!!Other Indo-European languages,Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages,Margin of Error!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages,Estimate!!Percent!!All households!!Households speaking --!!Other languages,Margin of Error!!Percent!!All households!!Households speaking --!!Other languages,Estimate!!Limited English-speaking households!!All households,Margin of Error!!Limited English-speaking households!!All households,Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish,Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Spanish,Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages,Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages,Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages,Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages,Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages,Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other languages,Estimate!!Percent limited English-speaking households!!All households,Margin of Error!!Percent limited English-speaking households!!All households,Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish,Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish,Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages,Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages,Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages,Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages,Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages,Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages
0400000US48,Texas,10490553,15608,3061870,9837,314435,4718,369940,4843,136783,3772,(X),(X),29.2,0.1,3,0.1,3.5,0.1,1.3,0.1,729208,7967,607599,7711,29035,1474,76133,2192,16441,1320,7,0.1,19.8,0.3,9.2,0.4,20.6,0.6,12,0.9
0500000US48001,"Anderson County, Texas",16899,459,1392,271,92,85,121,50,135,84,(X),(X),8.2,1.6,0.5,0.5,0.7,0.3,0.8,0.5,221,93,135,70,0,35,73,51,13,26,1.3,0.6,9.7,4.4,0,38.3,60.3,31.3,9.6,19.3
0500000US48003,"Andrews County, Texas",6603,171,2945,229,18,35,48,63,73,102,(X),(X),44.6,3.2,0.3,0.5,0.7,0.9,1.1,1.5,590,213,590,213,0,23,0,23,0,23,8.9,3.2,20,7,0,86.7,0,53.1,0,43.1
0500000US48005,"Angelina County, Texas",31583,510,4752,390,175,83,256,85,185,135,(X),(X),15,1.2,0.6,0.3,0.8,0.3,0.6,0.4,714,228,675,224,15,26,24,26,0,35,2.3,0.7,14.2,4.4,8.6,13.9,9.4,10.6,0,23.4
0500000US48007,"Aransas County, Texas",11412,504,2412,427,173,105,273,201,3,5,(X),(X),21.1,3.4,1.5,0.9,2.4,1.8,0,0.1,374,226,316,214,0,28,58,99,0,28,3.3,1.9,13.1,8.3,0,24.7,21.2,36.8,0,100
0500000US48009,"Archer County, Texas",3367,121,182,65,48,34,3,5,0,21,(X),(X),5.4,1.9,1.4,1,0.1,0.2,0,1.5,65,33,62,34,0,21,3,5,0,21,1.9,1,34.1,16.8,0,53.1,100,100,-,**
0500000US48011,"Armstrong County, Texas",725,69,55,26,0,15,2,3,2,3,(X),(X),7.6,3.4,0,6.7,0.3,0.4,0.3,0.5,0,15,0,15,0,15,0,15,0,15,0,6.7,0,49.6,-,**,0,100,0,100
0500000US48013,"Atascosa County, Texas",15920,452,7099,464,176,101,21,29,39,51,(X),(X),44.6,2.5,1.1,0.6,0.1,0.2,0.2,0.3,1237,382,1237,382,0,31,0,31,0,31,7.8,2.4,17.4,5.2,0,24.4,0,80.3,0,58.9
0500000US48015,"Austin County, Texas",11913,331,2565,326,535,181,78,69,4,7,(X),(X),21.5,2.5,4.5,1.5,0.7,0.6,0,0.1,162,110,132,101,30,47,0,31,0,31,1.4,0.9,5.1,3.9,5.6,9.7,0,41.6,0,100
0500000US48017,"Bailey County, Texas",1933,229,968,227,30,37,13,16,0,21,(X),(X),50.1,7.7,1.6,1.9,0.7,0.8,0,2.6,239,128,239,128,0,21,0,21,0,21,12.4,6.4,24.7,12.3,0,67.2,0,100,-,**
0500000US48019,"Bandera County, Texas",8532,301,1289,196,168,74,53,40,0,28,(X),(X),15.1,2.3,2,0.9,0.6,0.5,0,0.6,160,115,115,107,45,47,0,28,0,28,1.9,1.3,8.9,7.9,26.8,23.8,0,50.5,-,**
0500000US48021,"Bastrop County, Texas",33259,671,8798,617,592,190,252,133,111,102,(X),(X),26.5,1.7,1.8,0.6,0.8,0.4,0.3,0.3,1132,342,1032,315,29,38,71,111,0,35,3.4,1,11.7,3.7,4.9,6.4,28.2,31,0,34.4
0500000US48023,"Baylor County, Texas",1477,97,139,64,24,29,24,35,0,15,(X),(X),9.4,4.2,1.6,2,1.6,2.4,0,3.3,8,16,8,16,0,15,0,15,0,15,0.5,1.1,5.8,12.9,0,75.1,0,75.1,-,**
0500000US48025,"Bee County, Texas",8563,288,4147,358,110,71,18,15,6,9,(X),(X),48.4,4,1.3,0.8,0.2,0.2,0.1,0.1,407,155,382,151,18,28,7,12,0,31,4.8,1.8,9.2,3.7,16.4,23.2,38.9,54.4,0,100
0500000US48027,"Bell County, Texas",134495,1042,23319,980,4131,469,4688,600,1380,343,(X),(X),17.3,0.7,3.1,0.4,3.5,0.4,1,0.3,3575,447,2744,409,184,141,566,177,81,88,2.7,0.3,11.8,1.7,4.5,3.3,12.1,3.5,5.9,6.4
0500000US48029,"Bexar County, Texas",730119,2597,306817,3520,14624,1335,17305,898,4775,735,(X),(X),42,0.5,2,0.2,2.4,0.1,0.7,0.1,47348,1904,41741,1725,1424,307,3364,533,819,275,6.5,0.3,13.6,0.5,9.7,2,19.4,2.8,17.2,4.9
0500000US48031,"Blanco County, Texas",4836,230,431,107,66,42,79,68,0,23,(X),(X),8.9,2.2,1.4,0.9,1.6,1.4,0,1,75,57,71,57,0,23,4,7,0,23,1.6,1.2,16.5,12.6,0,45.3,5.1,10.7,-,**
0500000US48033,"Borden County, Texas",215,39,10,11,3,4,0,15,0,15,(X),(X),4.7,4.9,1.4,2,0,20.6,0,20.6,0,15,0,15,0,15,0,15,0,15,0,20.6,0,100,0,100,-,**,-,**
0500000US48035,"Bosque County, Texas",7277,219,1128,156,55,35,51,30,7,11,(X),(X),15.5,2,0.8,0.5,0.7,0.4,0.1,0.2,109,49,92,46,1,3,16,22,0,23,1.5,0.7,8.2,3.9,1.8,5,31.4,28.8,0,100
0500000US48037,"Bowie County, Texas",34486,459,1424,217,417,199,301,90,32,29,(X),(X),4.1,0.6,1.2,0.6,0.9,0.3,0.1,0.1,393,153,279,134,60,60,54,49,0,35,1.1,0.4,19.6,8.9,14.4,15.5,17.9,15.4,0,65
0500000US48039,"Brazoria County, Texas",127264,1090,28510,971,2450,524,6633,488,1336,615,(X),(X),22.4,0.7,1.9,0.4,5.2,0.4,1,0.5,4720,574,3238,542,77,49,1379,350,26,44,3.7,0.4,11.4,1.9,3.1,2.1,20.8,5.1,1.9,3.3
0500000US48041,"Brazos County, Texas",86289,1012,14295,761,2653,337,4247,478,973,233,(X),(X),16.6,0.9,3.1,0.4,4.9,0.6,1.1,0.3,3619,444,2246,369,224,120,965,262,184,115,4.2,0.5,15.7,2.4,8.4,4.7,22.7,5.5,18.9,10.6
0500000US48043,"Brewster County, Texas",4958,221,1846,277,50,43,29,48,34,54,(X),(X),37.2,5.1,1,0.9,0.6,1,0.7,1.1,389,191,389,191,0,21,0,21,0,21,7.8,3.9,21.1,9.8,0,52,0,68.3,0,63.1
0500000US48045,"Briscoe County, Texas",581,74,123,47,0,15,0,15,0,15,(X),(X),21.2,7.7,0,8.2,0,8.2,0,8.2,6,9,6,9,0,15,0,15,0,15,1,1.5,4.9,6.8,-,**,-,**,-,**
0500000US48047,"Brooks County, Texas",2652,259,2264,256,0,21,0,21,0,21,(X),(X),85.4,5.5,0,1.9,0,1.9,0,1.9,229,141,229,141,0,21,0,21,0,21,8.6,5.3,10.1,6.3,-,**,-,**,-,**
0500000US48049,"Brown County, Texas",14977,386,3006,322,143,74,38,30,16,18,(X),(X),20.1,2,1,0.5,0.3,0.2,0.1,0.1,307,127,285,125,5,9,17,23,0,31,2,0.8,9.5,4.1,3.5,7.1,44.7,43,0,92
0500000US48051,"Burleson County, Texas",7586,243,1199,197,42,29,36,25,0,23,(X),(X),15.8,2.5,0.6,0.4,0.5,0.3,0,0.7,229,135,222,134,0,23,7,10,0,23,3,1.8,18.5,10.2,0,56.8,19.4,40.2,-,**
0500000US48053,"Burnet County, Texas",18629,549,2592,389,136,66,54,46,24,28,(X),(X),13.9,1.9,0.7,0.4,0.3,0.2,0.1,0.1,160,86,160,86,0,31,0,31,0,31,0.9,0.5,6.2,3.4,0,29.8,0,50.1,0,75.1
0500000US48055,"Caldwell County, Texas",15087,302,5838,353,55,38,97,83,36,34,(X),(X),38.7,2.2,0.4,0.3,0.6,0.5,0.2,0.2,1044,291,1044,291,0,31,0,31,0,31,6.9,1.9,17.9,4.9,0,49.6,0,37.3,0,61.3
0500000US48057,"Calhoun County, Texas",8045,377,2267,280,22,21,273,63,30,44,(X),(X),28.2,3.3,0.3,0.3,3.4,0.8,0.4,0.5,390,128,273,123,0,28,117,51,0,28,4.8,1.6,12,5.3,0,78.4,42.9,15.8,0,67.2
0500000US48059,"Callahan County, Texas",5270,205,533,141,109,74,20,27,0,23,(X),(X),10.1,2.6,2.1,1.4,0.4,0.5,0,0.9,21,20,11,13,10,15,0,23,0,23,0.4,0.4,2.1,2.6,9.2,14.2,0,82.3,-,**
0500000US48061,"Cameron County, Texas",132538,978,102458,1309,638,171,685,143,179,167,(X),(X),77.3,0.8,0.5,0.1,0.5,0.1,0.1,0.1,20489,1226,20287,1203,71,53,131,74,0,35,15.5,0.9,19.8,1.2,11.1,7.7,19.1,10.1,0,24
0500000US48063,"Camp County, Texas",4443,268,469,107,41,42,12,19,35,52,(X),(X),10.6,2.4,0.9,0.9,0.3,0.4,0.8,1.2,67,60,67,60,0,23,0,23,0,23,1.5,1.3,14.3,11.7,0,57.4,0,100,0,62.2
0500000US48065,"Carson County, Texas",2260,95,111,61,5,7,0,21,0,21,(X),(X),4.9,2.7,0.2,0.3,0,2.2,0,2.2,0,21,0,21,0,21,0,21,0,21,0,2.2,0,34.4,0,100,-,**,-,**
0500000US48067,"Cass County, Texas",11530,319,245,75,111,80,198,78,10,12,(X),(X),2.1,0.6,1,0.7,1.7,0.7,0.1,0.1,105,83,12,18,0,28,93,82,0,28,0.9,0.7,4.9,8.3,0,34.4,47,40.1,0,100
0500000US48069,"Castro County, Texas",2384,155,1269,130,0,21,46,48,0,21,(X),(X),53.2,4.3,0,2.1,1.9,2,0,2.1,172,86,141,67,0,21,31,48,0,21,7.2,3.5,11.1,5.3,-,**,67.4,50,-,**
0500000US48071,"Chambers County, Texas",15744,439,3202,404,153,105,229,115,72,119,(X),(X),20.3,2.4,1,0.7,1.5,0.7,0.5,0.8,250,159,198,143,0,31,52,71,0,31,1.6,1,6.2,4.6,0,27.3,22.7,30.9,0,43.3
0500000US48073,"Cherokee County, Texas",18069,429,3180,306,8,14,135,74,5,11,(X),(X),17.6,1.6,0,0.1,0.7,0.4,0,0.1,755,186,712,181,0,35,43,39,0,35,4.2,1,22.4,5.2,0,100,31.9,31.5,0,100
0500000US48075,"Childress County, Texas",1892,229,438,151,0,21,0,21,0,21,(X),(X),23.2,7.4,0,2.6,0,2.6,0,2.6,57,79,57,79,0,21,0,21,0,21,3,4.1,13,16.2,-,**,-,**,-,**
0500000US48077,"Clay County, Texas",4204,166,161,53,19,20,33,23,8,12,(X),(X),3.8,1.2,0.5,0.5,0.8,0.5,0.2,0.3,0,23,0,23,0,23,0,23,0,23,0,1.2,0,26.2,0,84.4,0,64,0,100
0500000US48079,"Cochran County, Texas",959,59,489,44,19,22,0,15,1,5,(X),(X),51,3.7,2,2.2,0,5.1,0.1,0.6,117,39,98,34,19,22,0,15,0,15,12.2,4,20,6.7,100,84.4,-,**,0,100
0500000US48081,"Coke County, Texas",1487,93,223,59,0,15,12,15,0,15,(X),(X),15,3.8,0,3.3,0.8,1,0,3.3,44,41,44,41,0,15,0,15,0,15,3,2.8,19.7,18.1,-,**,0,100,-,**
0500000US48083,"Coleman County, Texas",3210,206,497,127,7,9,29,29,0,21,(X),(X),15.5,3.8,0.2,0.3,0.9,0.9,0,1.5,20,26,16,26,4,6,0,21,0,21,0.6,0.8,3.2,5.2,57.1,57.1,0,68.3,-,**
0500000US48085,"Collin County, Texas",383675,1391,46282,1453,31810,1606,37832,1423,9679,958,(X),(X),12.1,0.4,8.3,0.4,9.9,0.4,2.5,0.2,16471,1136,6247,712,2800,467,6619,747,805,366,4.3,0.3,13.5,1.6,8.8,1.4,17.5,1.8,8.3,3.5
0500000US48087,"Collingsworth County, Texas",1018,117,147,61,47,28,0,15,0,15,(X),(X),14.4,5.3,4.6,2.8,0,4.8,0,4.8,57,41,57,41,0,15,0,15,0,15,5.6,3.8,38.8,23.3,0,53.7,-,**,-,**
0500000US48089,"Colorado County, Texas",7376,293,1665,229,68,44,29,47,36,51,(X),(X),22.6,2.9,0.9,0.6,0.4,0.6,0.5,0.7,177,104,164,105,13,22,0,28,0,28,2.4,1.4,9.8,5.9,19.1,26.4,0,68.3,0,61.3
0500000US48091,"Comal County, Texas",63957,737,11794,828,1302,325,639,176,163,98,(X),(X),18.4,1.3,2,0.5,1,0.3,0.3,0.2,1186,355,1106,329,29,43,51,60,0,35,1.9,0.6,9.4,2.8,2.2,3.3,8,9.5,0,25.9
0500000US48093,"Comanche County, Texas",5340,221,1077,152,67,50,21,18,9,12,(X),(X),20.2,2.5,1.3,0.9,0.4,0.3,0.2,0.2,125,61,124,61,1,4,0,23,0,23,2.3,1.1,11.5,5.6,1.5,6.8,0,80.3,0,100
0500000US48095,"Concho County, Texas",816,74,241,73,3,6,6,7,2,5,(X),(X),29.5,7.8,0.4,0.8,0.7,0.9,0.2,0.6,44,39,41,39,3,6,0,15,0,15,5.4,4.7,17,15.1,100,100,0,100,0,100
0500000US48097,"Cooke County, Texas",16196,302,1801,222,151,102,66,53,2,4,(X),(X),11.1,1.4,0.9,0.6,0.4,0.3,0,0.1,487,227,468,221,12,21,7,15,0,31,3,1.4,26,11.3,7.9,14.1,10.6,21.3,0,100
0500000US48099,"Coryell County, Texas",25156,444,2999,347,955,202,730,171,36,32,(X),(X),11.9,1.3,3.8,0.8,2.9,0.7,0.1,0.1,510,176,366,132,29,31,104,81,11,17,2,0.7,12.2,4.1,3,3.3,14.2,10,30.6,43.3
0500000US48101,"Cottle County, Texas",692,137,96,49,2,6,0,15,0,15,(X),(X),13.9,6.7,0.3,0.8,0,7,0,7,2,3,2,3,0,15,0,15,0,15,0.3,0.5,2.1,3.9,0,100,-,**,-,**
0500000US48103,"Crane County, Texas",1670,85,897,139,13,26,32,23,0,15,(X),(X),53.7,7.6,0.8,1.5,1.9,1.4,0,2.9,208,177,208,177,0,15,0,15,0,15,12.5,10.5,23.2,18.4,0,100,0,65,-,**
0500000US48105,"Crockett County, Texas",1289,155,726,166,0,15,0,15,0,15,(X),(X),56.3,9.7,0,3.8,0,3.8,0,3.8,0,15,0,15,0,15,0,15,0,15,0,3.8,0,6.7,-,**,-,**,-,**
0500000US48107,"Crosby County, Texas",1994,88,836,80,9,8,27,27,0,21,(X),(X),41.9,3.9,0.5,0.4,1.4,1.4,0,2.5,101,46,76,37,0,21,25,27,0,21,5.1,2.3,9.1,4.4,0,100,92.6,26.7,-,**
0500000US48109,"Culberson County, Texas",629,230,459,181,0,15,8,13,0,15,(X),(X),73,11.5,0,7.6,1.3,2,0,7.6,149,104,149,104,0,15,0,15,0,15,23.7,12.9,32.5,16.6,-,**,0,100,-,**
0500000US48111,"Dallam County, Texas",2333,199,666,144,103,85,0,21,0,21,(X),(X),28.5,5.2,4.4,3.5,0,2.1,0,2.1,192,107,190,107,2,4,0,21,0,21,8.2,4.7,28.5,15.2,1.9,5.1,-,**,-,**
0500000US48113,"Dallas County, Texas",959184,2410,282630,2672,34502,1443,41754,1293,22946,1414,(X),(X),29.5,0.3,3.6,0.2,4.4,0.1,2.4,0.1,83783,2212,67730,2186,3690,523,8915,761,3448,566,8.7,0.2,24,0.8,10.7,1.4,21.4,1.7,15,2.4
0500000US48115,"Dawson County, Texas",4133,188,2048,200,57,40,0,23,5,12,(X),(X),49.6,4,1.4,1,0,1.2,0.1,0.3,277,96,258,95,19,18,0,23,0,23,6.7,2.3,12.6,4.6,33.3,28.2,-,**,0,100
0500000US48117,"Deaf Smith County, Texas",6022,201,3594,233,10,14,13,27,9,15,(X),(X),59.7,3.5,0.2,0.2,0.2,0.5,0.1,0.2,644,195,640,194,0,23,4,10,0,23,10.7,3.2,17.8,5.3,0,100,30.8,58.5,0,100
0500000US48119,"Delta County, Texas",2106,118,46,34,7,12,10,13,0,21,(X),(X),2.2,1.6,0.3,0.6,0.5,0.6,0,2.3,9,13,9,13,0,21,0,21,0,21,0.4,0.6,19.6,27.6,0,100,0,100,-,**
0500000US48121,"Denton County, Texas",334504,1296,46100,1274,14691,898,20500,834,5248,667,(X),(X),13.8,0.4,4.4,0.3,6.1,0.2,1.6,0.2,11556,1044,6604,932,1054,288,3705,403,193,122,3.5,0.3,14.3,1.9,7.2,1.8,18.1,1.9,3.7,2.3
0500000US48123,"DeWitt County, Texas",6586,246,1178,193,90,44,7,12,0,23,(X),(X),17.9,2.9,1.4,0.7,0.1,0.2,0,0.8,95,70,95,70,0,23,0,23,0,23,1.4,1.1,8.1,5.9,0,38.8,0,100,-,**
0500000US48125,"Dickens County, Texas",638,69,98,37,3,6,0,15,0,15,(X),(X),15.4,5.3,0.5,0.9,0,7.5,0,7.5,7,11,7,11,0,15,0,15,0,15,1.1,1.7,7.1,10.5,0,100,-,**,-,**
0500000US48127,"Dimmit County, Texas",2808,248,2364,244,4,8,12,13,27,31,(X),(X),84.2,4.7,0.1,0.3,0.4,0.5,1,1.1,344,162,340,162,4,8,0,21,0,21,12.3,5.6,14.4,6.6,100,100,0,100,0,70.8
0500000US48129,"Donley County, Texas",1198,100,52,37,4,6,13,16,0,15,(X),(X),4.3,3,0.3,0.5,1.1,1.4,0,4.1,32,39,32,39,0,15,0,15,0,15,2.7,3.3,61.5,43.9,0,100,0,100,-,**
0500000US48131,"Duval County, Texas",2892,185,2254,191,39,59,0,21,0,21,(X),(X),77.9,6,1.3,2,0,1.7,0,1.7,148,95,148,95,0,21,0,21,0,21,5.1,3.3,6.6,4.3,0,58.9,-,**,-,**
0500000US48133,"Eastland County, Texas",7083,326,961,198,50,46,77,83,1,2,(X),(X),13.6,2.6,0.7,0.6,1.1,1.2,0,0.1,73,59,69,58,0,23,4,7,0,23,1,0.8,7.2,6.4,0,52,5.2,10.7,0,100
0500000US48135,"Ector County, Texas",60676,631,31537,1146,537,187,750,306,624,302,(X),(X),52,1.7,0.9,0.3,1.2,0.5,1,0.5,5395,760,5278,761,13,21,104,86,0,35,8.9,1.2,16.7,2.3,2.4,4,13.9,12.8,0,7.7
0500000US48137,"Edwards County, Texas",526,113,234,81,0,15,0,15,0,15,(X),(X),44.5,13,0,9.1,0,9.1,0,9.1,59,41,59,41,0,15,0,15,0,15,11.2,7.3,25.2,17.1,-,**,-,**,-,**
0500000US48139,"Ellis County, Texas",65686,546,12762,675,699,211,400,113,320,180,(X),(X),19.4,1,1.1,0.3,0.6,0.2,0.5,0.3,1551,343,1441,339,9,15,72,62,29,25,2.4,0.5,11.3,2.6,1.3,2.2,18,13.4,9.1,9.5
0500000US48141,"El Paso County, Texas",292580,1366,217218,2016,3615,497,3610,366,935,314,(X),(X),74.2,0.6,1.2,0.2,1.2,0.1,0.3,0.1,58209,1833,56929,1781,371,175,746,220,163,211,19.9,0.6,26.2,0.8,10.3,4.4,20.7,5.8,17.4,19.6
0500000US48143,"Erath County, Texas",16007,418,2046,321,273,128,105,59,21,34,(X),(X),12.8,1.9,1.7,0.8,0.7,0.4,0.1,0.2,502,201,470,194,0,31,32,44,0,31,3.1,1.3,23,8.8,0,16.7,30.5,36.8,0,80.3
0500000US48145,"Falls County, Texas",5499,257,600,127,58,43,0,23,33,33,(X),(X),10.9,2.3,1.1,0.8,0,0.9,0.6,0.6,128,83,125,82,3,6,0,23,0,23,2.3,1.5,20.8,11.9,5.2,12.5,-,**,0,64
0500000US48147,"Fannin County, Texas",12699,308,1044,192,123,53,52,36,33,42,(X),(X),8.2,1.5,1,0.4,0.4,0.3,0.3,0.3,169,139,151,136,18,27,0,31,0,31,1.3,1.1,14.5,11.5,14.6,19,0,51,0,64
0500000US48149,"Fayette County, Texas",9310,372,1189,163,259,124,39,39,0,28,(X),(X),12.8,1.5,2.8,1.3,0.4,0.4,0,0.5,35,30,32,31,3,5,0,28,0,28,0.4,0.3,2.7,2.6,1.2,1.8,0,58.9,-,**
0500000US48151,"Fisher County, Texas",1514,118,350,82,12,17,4,7,0,15,(X),(X),23.1,4.6,0.8,1.1,0.3,0.5,0,3.2,53,39,49,39,0,15,4,7,0,15,3.5,2.6,14,10.4,0,100,100,100,-,**
0500000US48153,"Floyd County, Texas",1938,127,802,106,5,7,0,21,0,21,(X),(X),41.4,4.9,0.3,0.4,0,2.5,0,2.5,142,67,142,67,0,21,0,21,0,21,7.3,3.3,17.7,7.5,0,100,-,**,-,**
0500000US48155,"Foard County, Texas",462,74,39,37,0,15,1,2,0,15,(X),(X),8.4,7.5,0,10.2,0.2,0.5,0,10.2,17,31,17,31,0,15,0,15,0,15,3.7,6.2,43.6,50.5,-,**,0,100,-,**
0500000US48157,"Fort Bend County, Texas",270136,1304,51907,1515,25034,1712,33705,1544,11925,1512,(X),(X),19.2,0.5,9.3,0.6,12.5,0.6,4.4,0.6,16209,1230,7543,975,1505,291,6580,856,581,369,6,0.4,14.5,1.9,6,1.2,19.5,2.4,4.9,3.1
0500000US48159,"Franklin County, Texas",3782,184,476,73,76,62,10,16,0,23,(X),(X),12.6,1.8,2,1.7,0.3,0.4,0,1.3,105,79,105,79,0,23,0,23,0,23,2.8,2.1,22.1,16.3,0,42.2,0,100,-,**
0500000US48161,"Freestone County, Texas",6701,259,604,143,40,41,11,15,0,23,(X),(X),9,2.1,0.6,0.6,0.2,0.2,0,0.7,54,57,54,57,0,23,0,23,0,23,0.8,0.9,8.9,9.6,0,58.2,0,100,-,**
0500000US48163,"Frio County, Texas",4709,416,3163,372,0,23,17,36,0,23,(X),(X),67.2,5.7,0,1.1,0.4,0.8,0,1.1,673,283,673,283,0,23,0,23,0,23,14.3,5.8,21.3,8.3,-,**,0,89.2,-,**
0500000US48165,"Gaines County, Texas",6909,204,2491,311,1711,304,32,52,22,29,(X),(X),36.1,4.2,24.8,4.3,0.5,0.7,0.3,0.4,1030,298,560,212,470,193,0,28,0,28,14.9,4.3,22.5,8.6,27.5,9.3,0,65,0,78.4
0500000US48167,"Galveston County, Texas",135275,952,24100,1038,3776,543,4054,404,621,253,(X),(X),17.8,0.8,2.8,0.4,3,0.3,0.5,0.2,3802,601,3020,570,303,153,441,183,38,41,2.8,0.4,12.5,2.2,8,3.7,10.9,4.5,6.1,7
0500000US48169,"Garza County, Texas",1677,157,422,132,0,21,12,18,10,15,(X),(X),25.2,7.7,0,2.9,0.7,1.1,0.6,0.9,44,51,34,49,0,21,0,21,10,15,2.6,3,8.1,11.6,-,**,0,100,100,100
0500000US48171,"Gillespie County, Texas",11035,409,1497,197,498,157,40,40,0,28,(X),(X),13.6,1.7,4.5,1.4,0.4,0.4,0,0.5,234,133,215,130,19,22,0,28,0,28,2.1,1.2,14.4,8.4,3.8,4.8,0,58.2,-,**
0500000US48173,"Glasscock County, Texas",415,54,100,54,33,38,0,15,8,15,(X),(X),24.1,12.2,8,9,0,11.3,1.9,3.5,25,28,25,28,0,15,0,15,0,15,6,6.7,25,24.4,0,64,-,**,0,100
0500000US48175,"Goliad County, Texas",2720,158,692,125,48,48,2,5,0,21,(X),(X),25.4,4.2,1.8,1.8,0.1,0.2,0,1.8,87,57,87,57,0,21,0,21,0,21,3.2,2.1,12.6,8.4,0,53.1,0,100,-,**
0500000US48177,"Gonzales County, Texas",7412,210,2430,229,33,33,89,52,6,10,(X),(X),32.8,3.2,0.4,0.4,1.2,0.7,0.1,0.1,585,155,528,145,0,23,57,51,0,23,7.9,2,21.7,5.8,0,64,64,25.5,0,100
0500000US48179,"Gray County, Texas",8021,235,1583,219,35,31,41,55,2,3,(X),(X),19.7,2.6,0.4,0.4,0.5,0.7,0,0.1,383,164,383,164,0,28,0,28,0,28,4.8,2,24.2,9,0,62.2,0,57.4,0,100
0500000US48181,"Grayson County, Texas",52084,687,4556,442,665,195,390,105,87,68,(X),(X),8.7,0.8,1.3,0.4,0.7,0.2,0.2,0.1,918,254,773,255,25,40,120,85,0,35,1.8,0.5,17,5,3.8,6.3,30.8,18.8,0,39.4
0500000US48183,"Gregg County, Texas",47008,677,5821,397,312,127,574,258,177,150,(X),(X),12.4,0.8,0.7,0.3,1.2,0.5,0.4,0.3,987,213,889,217,38,45,60,47,0,35,2.1,0.4,15.3,3.8,12.2,13.4,10.5,9.6,0,24.3
0500000US48185,"Grimes County, Texas",9769,293,1616,210,155,93,38,48,13,23,(X),(X),16.5,2.1,1.6,1,0.4,0.5,0.1,0.2,341,180,341,180,0,28,0,28,0,28,3.5,1.8,21.1,10.2,0,27,0,59.7,0,100
0500000US48187,"Guadalupe County, Texas",60463,634,15194,803,1244,305,934,201,95,70,(X),(X),25.1,1.3,2.1,0.5,1.5,0.3,0.2,0.1,1586,367,1328,327,99,108,159,107,0,35,2.6,0.6,8.7,2.1,8,8.3,17,11.5,0,37.7
0500000US48189,"Hale County, Texas",10997,375,5287,396,104,71,10,16,52,59,(X),(X),48.1,2.9,0.9,0.6,0.1,0.1,0.5,0.5,647,179,588,159,22,31,0,31,37,54,5.9,1.6,11.1,3,21.2,24.9,0,100,71.2,48.4
0500000US48191,"Hall County, Texas",1145,82,316,48,0,15,4,5,0,15,(X),(X),27.6,3.9,0,4.3,0.3,0.5,0,4.3,31,26,31,26,0,15,0,15,0,15,2.7,2.3,9.8,7.9,-,**,0,100,-,**
0500000US48193,"Hamilton County, Texas",3131,175,255,72,112,79,1,2,0,21,(X),(X),8.1,2.2,3.6,2.5,0,0.1,0,1.6,15,13,9,15,6,11,0,21,0,21,0.5,0.4,3.5,5.7,5.4,10.7,0,100,-,**
0500000US48195,"Hansford County, Texas",1763,115,657,97,0,21,0,21,0,21,(X),(X),37.3,5,0,2.8,0,2.8,0,2.8,199,98,199,98,0,21,0,21,0,21,11.3,5.4,30.3,12.9,-,**,-,**,-,**
