Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!English only,Margin of Error!!Total:!!English only,Estimate!!Total:!!Spanish:,Margin of Error!!Total:!!Spanish:,Estimate!!Total:!!Spanish:!!Limited English speaking household,Margin of Error!!Total:!!Spanish:!!Limited English speaking household,Estimate!!Total:!!Spanish:!!Not a limited English speaking household,Margin of Error!!Total:!!Spanish:!!Not a limited English speaking household,"Estimate!!Total:!!French, Haitian, or Cajun:","Margin of Error!!Total:!!French, Haitian, or Cajun:","Estimate!!Total:!!French, Haitian, or Cajun:!!Limited English speaking household","Margin of Error!!Total:!!French, Haitian, or Cajun:!!Limited English speaking household","Estimate!!Total:!!French, Haitian, or Cajun:!!Not a limited English speaking household","Margin of Error!!Total:!!French, Haitian, or Cajun:!!Not a limited English speaking household",Estimate!!Total:!!German or other West Germanic languages:,Margin of Error!!Total:!!German or other West Germanic languages:,Estimate!!Total:!!German or other West Germanic languages:!!Limited English speaking household,Margin of Error!!Total:!!German or other West Germanic languages:!!Limited English speaking household,Estimate!!Total:!!German or other West Germanic languages:!!Not a limited English speaking household,Margin of Error!!Total:!!German or other West Germanic languages:!!Not a limited English speaking household,"Estimate!!Total:!!Russian, Polish, or other Slavic languages:","Margin of Error!!Total:!!Russian, Polish, or other Slavic languages:","Estimate!!Total:!!Russian, Polish, or other Slavic languages:!!Limited English speaking household","Margin of Error!!Total:!!Russian, Polish, or other Slavic languages:!!Limited English speaking household","Estimate!!Total:!!Russian, Polish, or other Slavic languages:!!Not a limited English speaking household","Margin of Error!!Total:!!Russian, Polish, or other Slavic languages:!!Not a limited English speaking household",Estimate!!Total:!!Other Indo-European languages:,Margin of Error!!Total:!!Other Indo-European languages:,Estimate!!Total:!!Other Indo-European languages:!!Limited English speaking household,Margin of Error!!Total:!!Other Indo-European languages:!!Limited English speaking household,Estimate!!Total:!!Other Indo-European languages:!!Not a limited English speaking household,Margin of Error!!Total:!!Other Indo-European languages:!!Not a limited English speaking household,Estimate!!Total:!!Korean:,Margin of Error!!Total:!!Korean:,Estimate!!Total:!!Korean:!!Limited English speaking household,Margin of Error!!Total:!!Korean:!!Limited English speaking household,Estimate!!Total:!!Korean:!!Not a limited English speaking household,Margin of Error!!Total:!!Korean:!!Not a limited English speaking household,"Estimate!!Total:!!Chinese (incl. Mandarin, Cantonese):","Margin of Error!!Total:!!Chinese (incl. Mandarin, Cantonese):","Estimate!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Limited English speaking household","Margin of Error!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Limited English speaking household","Estimate!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Not a limited English speaking household","Margin of Error!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Not a limited English speaking household",Estimate!!Total:!!Vietnamese:,Margin of Error!!Total:!!Vietnamese:,Estimate!!Total:!!Vietnamese:!!Limited English speaking household,Margin of Error!!Total:!!Vietnamese:!!Limited English speaking household,Estimate!!Total:!!Vietnamese:!!Not a limited English speaking household,Margin of Error!!Total:!!Vietnamese:!!Not a limited English speaking household,Estimate!!Total:!!Tagalog (incl. Filipino):,Margin of Error!!Total:!!Tagalog (incl. Filipino):,Estimate!!Total:!!Tagalog (incl. Filipino):!!Limited English speaking household,Margin of Error!!Total:!!Tagalog (incl. Filipino):!!Limited English speaking household,Estimate!!Total:!!Tagalog (incl. Filipino):!!Not a limited English speaking household,Margin of Error!!Total:!!Tagalog (incl. Filipino):!!Not a limited English speaking household,Estimate!!Total:!!Other Asian and Pacific Island languages:,Margin of Error!!Total:!!Other Asian and Pacific Island languages:,Estimate!!Total:!!Other Asian and Pacific Island languages:!!Limited English speaking household,Margin of Error!!Total:!!Other Asian and Pacific Island languages:!!Limited English speaking household,Estimate!!Total:!!Other Asian and Pacific Island languages:!!Not a limited English speaking household,Margin of Error!!Total:!!Other Asian and Pacific Island languages:!!Not a limited English speaking household,Estimate!!Total:!!Arabic:,Margin of Error!!Total:!!Arabic:,Estimate!!Total:!!Arabic:!!Limited English speaking household,Margin of Error!!Total:!!Arabic:!!Limited English speaking household,Estimate!!Total:!!Arabic:!!Not a limited English speaking household,Margin of Error!!Total:!!Arabic:!!Not a limited English speaking household,Estimate!!Total:!!Other and unspecified languages:,Margin of Error!!Total:!!Other and unspecified languages:,Estimate!!Total:!!Other and unspecified languages:!!Limited English speaking household,Margin of Error!!Total:!!Other and unspecified languages:!!Limited English speaking household,Estimate!!Total:!!Other and unspecified languages:!!Not a limited English speaking household,Margin of Error!!Total:!!Other and unspecified languages:!!Not a limited English speaking household
0400000US48,Texas,10490553,15608,6607525,15164,3061870,9837,607599,7711,2454271,12168,53771,2227,5711,810,48060,2155,47297,1791,2191,383,45106,1740,32371,1633,3615,485,28756,1629,180996,3480,17518,1154,163478,3173,33905,1682,8492,725,25413,1443,85354,2709,21630,1293,63724,2538,87802,2363,26121,1572,61681,2107,44587,1991,3105,478,41482,1889,118292,2740,16785,1244,101507,2662,43467,2278,6218,874,37249,2206,93316,3091,10223,980,83093,3144
0500000US48001,"Anderson County, Texas",16899,459,15159,560,1392,271,135,70,1257,240,3,6,0,35,3,6,23,30,0,35,23,30,11,17,0,35,11,17,55,77,0,35,55,77,4,6,0,35,4,6,0,35,0,35,0,35,63,51,63,51,0,35,15,20,0,35,15,20,39,34,10,20,29,31,0,35,0,35,0,35,135,84,13,26,122,81
0500000US48003,"Andrews County, Texas",6603,171,3519,233,2945,229,590,213,2355,269,5,30,0,23,5,30,13,20,0,23,13,20,0,23,0,23,0,23,0,23,0,23,0,23,14,23,0,23,14,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,34,61,0,23,34,61,0,23,0,23,0,23,73,102,0,23,73,102
0500000US48005,"Angelina County, Texas",31583,510,26215,586,4752,390,675,224,4077,357,52,54,15,26,37,48,20,26,0,35,20,26,0,35,0,35,0,35,103,71,0,35,103,71,11,16,0,35,11,16,22,26,0,35,22,26,35,30,24,26,11,18,138,70,0,35,138,70,50,42,0,35,50,42,57,89,0,35,57,89,128,99,0,35,128,99
0500000US48007,"Aransas County, Texas",11412,504,8551,579,2412,427,316,214,2096,385,22,40,0,28,22,40,142,95,0,28,142,95,0,28,0,28,0,28,9,14,0,28,9,14,0,28,0,28,0,28,0,28,0,28,0,28,172,175,58,99,114,162,0,28,0,28,0,28,101,146,0,28,101,146,0,28,0,28,0,28,3,5,0,28,3,5
0500000US48009,"Archer County, Texas",3367,121,3134,125,182,65,62,34,120,57,15,18,0,21,15,18,30,31,0,21,30,31,0,21,0,21,0,21,3,4,0,21,3,4,0,21,0,21,0,21,3,5,3,5,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48011,"Armstrong County, Texas",725,69,666,64,55,26,0,15,55,26,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,2,3,0,15,2,3,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,2,3,0,15,2,3
0500000US48013,"Atascosa County, Texas",15920,452,8585,454,7099,464,1237,382,5862,516,9,15,0,31,9,15,108,82,0,31,108,82,16,26,0,31,16,26,43,47,0,31,43,47,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,21,29,0,31,21,29,0,31,0,31,0,31,39,51,0,31,39,51,0,31,0,31,0,31
0500000US48015,"Austin County, Texas",11913,331,8731,406,2565,326,132,101,2433,336,72,55,0,31,72,55,232,103,27,47,205,98,131,117,3,6,128,118,100,99,0,31,100,99,0,31,0,31,0,31,0,31,0,31,0,31,43,64,0,31,43,64,0,31,0,31,0,31,35,35,0,31,35,35,1,4,0,31,1,4,3,6,0,31,3,6
0500000US48017,"Bailey County, Texas",1933,229,922,129,968,227,239,128,729,219,0,21,0,21,0,21,26,35,0,21,26,35,0,21,0,21,0,21,4,7,0,21,4,7,0,21,0,21,0,21,0,21,0,21,0,21,13,16,0,21,13,16,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48019,"Bandera County, Texas",8532,301,7022,351,1289,196,115,107,1174,188,10,18,0,28,10,18,134,66,45,47,89,50,10,16,0,28,10,16,14,15,0,28,14,15,0,28,0,28,0,28,7,10,0,28,7,10,22,38,0,28,22,38,14,24,0,28,14,24,10,16,0,28,10,16,0,28,0,28,0,28,0,28,0,28,0,28
0500000US48021,"Bastrop County, Texas",33259,671,23506,713,8798,617,1032,315,7766,693,22,37,0,35,22,37,438,165,29,38,409,161,32,37,0,35,32,37,100,80,0,35,100,80,30,40,5,10,25,39,56,59,0,35,56,59,37,41,0,35,37,41,5,10,0,35,5,10,124,128,66,110,58,59,0,35,0,35,0,35,111,102,0,35,111,102
0500000US48023,"Baylor County, Texas",1477,97,1290,116,139,64,8,16,131,67,0,15,0,15,0,15,24,29,0,15,24,29,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,24,35,0,15,24,35,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48025,"Bee County, Texas",8563,288,4282,389,4147,358,382,151,3765,380,18,28,18,28,0,31,47,50,0,31,47,50,13,22,0,31,13,22,32,21,0,31,32,21,3,5,0,31,3,5,0,31,0,31,0,31,0,31,0,31,0,31,15,16,7,12,8,10,0,31,0,31,0,31,4,7,0,31,4,7,2,4,0,31,2,4
0500000US48027,"Bell County, Texas",134495,1042,100977,1416,23319,980,2744,409,20575,959,983,403,46,47,937,400,1836,330,19,22,1817,326,397,161,0,35,397,161,915,264,119,125,796,217,1826,374,321,139,1505,351,328,151,109,93,219,110,330,141,67,58,263,125,732,215,7,13,725,211,1472,357,62,38,1410,357,319,136,9,16,310,136,1061,286,72,86,989,281
0500000US48029,"Bexar County, Texas",730119,2597,386598,4110,306817,3520,41741,1725,265076,3435,1981,392,265,134,1716,375,3108,452,137,86,2971,449,2140,539,245,128,1895,500,7395,976,777,189,6618,928,1689,286,251,125,1438,257,2934,456,699,193,2235,451,2588,425,817,237,1771,392,4159,584,468,256,3691,540,5935,624,1129,304,4806,514,2735,555,572,238,2163,448,2040,441,247,133,1793,405
0500000US48031,"Blanco County, Texas",4836,230,4260,241,431,107,71,57,360,108,0,23,0,23,0,23,25,28,0,23,25,28,31,28,0,23,31,28,10,18,0,23,10,18,0,23,0,23,0,23,4,7,4,7,0,23,0,23,0,23,0,23,0,23,0,23,0,23,75,68,0,23,75,68,0,23,0,23,0,23,0,23,0,23,0,23
0500000US48033,"Borden County, Texas",215,39,202,38,10,11,0,15,10,11,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,3,4,0,15,3,4,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48035,"Bosque County, Texas",7277,219,6036,211,1128,156,92,46,1036,150,0,23,0,23,0,23,37,24,1,3,36,24,0,23,0,23,0,23,18,28,0,23,18,28,0,23,0,23,0,23,10,15,0,23,10,15,3,6,3,6,0,23,4,5,0,23,4,5,34,30,13,20,21,19,0,23,0,23,0,23,7,11,0,23,7,11
0500000US48037,"Bowie County, Texas",34486,459,32312,530,1424,217,279,134,1145,214,31,35,0,35,31,35,92,56,3,4,89,57,81,76,45,55,36,51,213,184,12,19,201,181,29,33,0,35,29,33,112,67,35,43,77,65,53,34,0,35,53,34,67,55,0,35,67,55,40,41,19,27,21,33,9,16,0,35,9,16,23,24,0,35,23,24
0500000US48039,"Brazoria County, Texas",127264,1090,88335,1389,28510,971,3238,542,25272,1000,506,268,0,35,506,268,373,157,29,32,344,153,249,141,0,35,249,141,1322,351,48,36,1274,347,407,165,71,60,336,150,1198,341,296,215,902,268,1891,427,514,230,1377,365,1677,424,78,89,1599,414,1460,274,420,156,1040,245,406,188,14,37,392,180,930,591,12,24,918,590
0500000US48041,"Brazos County, Texas",86289,1012,64121,1367,14295,761,2246,369,12049,713,331,152,21,28,310,151,330,122,0,35,330,122,322,154,0,35,322,154,1670,307,203,117,1467,314,739,209,276,151,463,184,1684,326,462,151,1222,280,213,108,18,28,195,102,200,128,0,35,200,128,1411,329,209,162,1202,311,550,181,136,102,414,150,423,166,48,56,375,159
0500000US48043,"Brewster County, Texas",4958,221,2999,266,1846,277,389,191,1457,285,27,32,0,21,27,32,23,28,0,21,23,28,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,29,48,0,21,29,48,0,21,0,21,0,21,0,21,0,21,0,21,34,54,0,21,34,54
0500000US48045,"Briscoe County, Texas",581,74,458,74,123,47,6,9,117,45,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48047,"Brooks County, Texas",2652,259,388,152,2264,256,229,141,2035,289,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48049,"Brown County, Texas",14977,386,11774,370,3006,322,285,125,2721,322,34,27,5,9,29,29,87,64,0,31,87,64,0,31,0,31,0,31,22,26,0,31,22,26,0,31,0,31,0,31,12,17,0,31,12,17,0,31,0,31,0,31,6,11,0,31,6,11,20,22,17,23,3,4,9,14,0,31,9,14,7,11,0,31,7,11
0500000US48051,"Burleson County, Texas",7586,243,6309,268,1199,197,222,134,977,179,0,23,0,23,0,23,4,7,0,23,4,7,38,28,0,23,38,28,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,7,10,7,10,0,23,17,26,0,23,17,26,12,24,0,23,12,24,0,23,0,23,0,23,0,23,0,23,0,23
0500000US48053,"Burnet County, Texas",18629,549,15823,504,2592,389,160,86,2432,391,12,17,0,31,12,17,55,36,0,31,55,36,0,31,0,31,0,31,69,54,0,31,69,54,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,13,20,0,31,13,20,41,44,0,31,41,44,0,31,0,31,0,31,24,28,0,31,24,28
0500000US48055,"Caldwell County, Texas",15087,302,9061,377,5838,353,1044,291,4794,410,11,14,0,31,11,14,19,23,0,31,19,23,16,20,0,31,16,20,9,16,0,31,9,16,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,97,83,0,31,97,83,26,30,0,31,26,30,10,17,0,31,10,17
0500000US48057,"Calhoun County, Texas",8045,377,5453,394,2267,280,273,123,1994,283,0,28,0,28,0,28,11,18,0,28,11,18,11,12,0,28,11,12,0,28,0,28,0,28,4,8,0,28,4,8,142,51,59,35,83,42,43,43,37,43,6,9,9,16,0,28,9,16,75,42,21,25,54,31,0,28,0,28,0,28,30,44,0,28,30,44
0500000US48059,"Callahan County, Texas",5270,205,4608,213,533,141,11,13,522,142,17,26,0,23,17,26,60,46,10,15,50,44,0,23,0,23,0,23,32,49,0,23,32,49,0,23,0,23,0,23,20,27,0,23,20,27,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
0500000US48061,"Cameron County, Texas",132538,978,28578,1084,102458,1309,20287,1203,82171,1637,197,106,22,34,175,96,100,57,9,13,91,53,67,48,16,25,51,39,274,120,24,32,250,115,13,23,13,23,0,35,82,52,24,29,58,42,195,113,53,60,142,86,304,107,12,20,292,108,91,54,29,34,62,47,138,154,0,35,138,154,41,46,0,35,41,46
0500000US48063,"Camp County, Texas",4443,268,3886,284,469,107,67,60,402,102,23,31,0,23,23,31,0,23,0,23,0,23,0,23,0,23,0,23,18,26,0,23,18,26,0,23,0,23,0,23,0,23,0,23,0,23,11,18,0,23,11,18,1,8,0,23,1,8,0,23,0,23,0,23,35,52,0,23,35,52,0,23,0,23,0,23
0500000US48065,"Carson County, Texas",2260,95,2144,111,111,61,0,21,111,61,0,21,0,21,0,21,3,6,0,21,3,6,2,4,0,21,2,4,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48067,"Cass County, Texas",11530,319,10966,352,245,75,12,18,233,78,0,28,0,28,0,28,81,73,0,28,81,73,0,28,0,28,0,28,30,34,0,28,30,34,0,28,0,28,0,28,114,87,92,82,22,32,48,73,1,3,47,73,24,37,0,28,24,37,12,16,0,28,12,16,10,12,0,28,10,12,0,28,0,28,0,28
0500000US48069,"Castro County, Texas",2384,155,1069,119,1269,130,141,67,1128,145,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,46,48,31,48,15,18,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48071,"Chambers County, Texas",15744,439,12088,477,3202,404,198,143,3004,443,99,86,0,31,99,86,0,31,0,31,0,31,28,44,0,31,28,44,26,44,0,31,26,44,0,31,0,31,0,31,0,31,0,31,0,31,39,56,0,31,39,56,83,93,0,31,83,93,107,92,52,71,55,84,6,9,0,31,6,9,66,120,0,31,66,120
0500000US48073,"Cherokee County, Texas",18069,429,14741,464,3180,306,712,181,2468,283,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,8,14,0,35,8,14,0,35,0,35,0,35,0,35,0,35,0,35,26,39,12,16,14,36,87,60,24,34,63,55,22,26,7,12,15,24,0,35,0,35,0,35,5,11,0,35,5,11
0500000US48075,"Childress County, Texas",1892,229,1454,220,438,151,57,79,381,131,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48077,"Clay County, Texas",4204,166,3983,158,161,53,0,23,161,53,3,5,0,23,3,5,16,19,0,23,16,19,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,7,12,0,23,7,12,0,23,0,23,0,23,22,21,0,23,22,21,4,6,0,23,4,6,0,23,0,23,0,23,8,12,0,23,8,12
0500000US48079,"Cochran County, Texas",959,59,450,45,489,44,98,34,391,50,0,15,0,15,0,15,19,22,19,22,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,1,5,0,15,1,5
0500000US48081,"Coke County, Texas",1487,93,1252,94,223,59,44,41,179,65,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,12,15,0,15,12,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48083,"Coleman County, Texas",3210,206,2677,200,497,127,16,26,481,125,4,6,4,6,0,21,3,7,0,21,3,7,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,7,12,0,21,7,12,0,21,0,21,0,21,22,28,0,21,22,28,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48085,"Collin County, Texas",383675,1391,258072,2209,46282,1453,6247,712,40035,1638,2500,480,305,163,2195,459,1803,439,25,43,1778,437,3173,469,494,182,2679,460,24334,1367,1976,404,22358,1288,3211,508,761,239,2450,495,11107,809,2626,379,8481,766,4245,571,1000,305,3245,485,2784,754,129,75,2655,733,16485,1009,2103,539,14382,909,3242,576,170,143,3072,561,6437,715,635,334,5802,608
0500000US48087,"Collingsworth County, Texas",1018,117,824,108,147,61,57,41,90,51,0,15,0,15,0,15,45,28,0,15,45,28,0,15,0,15,0,15,2,4,0,15,2,4,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48089,"Colorado County, Texas",7376,293,5578,279,1665,229,164,105,1501,214,0,28,0,28,0,28,47,37,13,22,34,28,13,20,0,28,13,20,8,16,0,28,8,16,0,28,0,28,0,28,0,28,0,28,0,28,29,47,0,28,29,47,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,36,51,0,28,36,51
0500000US48091,"Comal County, Texas",63957,737,50059,969,11794,828,1106,329,10688,847,216,171,0,35,216,171,702,266,0,35,702,266,80,57,0,35,80,57,304,136,29,43,275,123,153,120,0,35,153,120,16,22,3,5,13,22,10,22,0,35,10,22,207,114,0,35,207,114,253,106,48,60,205,102,49,51,0,35,49,51,114,91,0,35,114,91
0500000US48093,"Comanche County, Texas",5340,221,4166,182,1077,152,124,61,953,152,0,23,0,23,0,23,65,50,1,4,64,50,2,4,0,23,2,4,0,23,0,23,0,23,8,14,0,23,8,14,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,13,14,0,23,13,14,8,11,0,23,8,11,1,2,0,23,1,2
0500000US48095,"Concho County, Texas",816,74,564,69,241,73,41,39,200,68,0,15,0,15,0,15,3,6,3,6,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,1,3,0,15,1,3,5,7,0,15,5,7,0,15,0,15,0,15,2,5,0,15,2,5
0500000US48097,"Cooke County, Texas",16196,302,14176,384,1801,222,468,221,1333,239,3,4,0,31,3,4,40,43,2,5,38,43,21,19,0,31,21,19,87,86,10,20,77,85,0,31,0,31,0,31,6,13,0,31,6,13,0,31,0,31,0,31,44,47,7,15,37,47,16,25,0,31,16,25,2,4,0,31,2,4,0,31,0,31,0,31
0500000US48099,"Coryell County, Texas",25156,444,20436,548,2999,347,366,132,2633,325,40,35,3,6,37,32,638,161,15,26,623,164,63,39,11,21,52,36,214,97,0,35,214,97,181,96,3,5,178,95,51,40,8,12,43,37,21,23,7,12,14,19,195,102,18,27,177,98,282,116,68,74,214,93,7,12,0,35,7,12,29,30,11,17,18,25
0500000US48101,"Cottle County, Texas",692,137,594,130,96,49,2,3,94,49,0,15,0,15,0,15,2,6,0,15,2,6,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48103,"Crane County, Texas",1670,85,728,130,897,139,208,177,689,154,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,13,26,0,15,13,26,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,19,19,0,15,19,19,13,16,0,15,13,16,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48105,"Crockett County, Texas",1289,155,563,128,726,166,0,15,726,166,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48107,"Crosby County, Texas",1994,88,1122,103,836,80,76,37,760,83,0,21,0,21,0,21,6,9,0,21,6,9,0,21,0,21,0,21,3,5,0,21,3,5,0,21,0,21,0,21,2,7,0,21,2,7,6,10,6,10,0,21,0,21,0,21,0,21,19,25,19,25,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48109,"Culberson County, Texas",629,230,162,95,459,181,149,104,310,137,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,8,13,0,15,8,13,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48111,"Dallam County, Texas",2333,199,1564,181,666,144,190,107,476,152,0,21,0,21,0,21,103,85,2,4,101,86,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48113,"Dallas County, Texas",959184,2410,577352,3582,282630,2672,67730,2186,214900,3168,6842,826,931,336,5911,748,2492,411,125,101,2367,376,2689,390,490,162,2199,349,22479,1078,2144,401,20335,1011,3774,584,1181,287,2593,508,7641,777,1869,336,5772,696,10127,755,3020,565,7107,653,3700,517,179,78,3521,518,16512,924,2666,424,13846,835,3971,585,454,153,3517,577,18975,1207,2994,552,15981,1192
0500000US48115,"Dawson County, Texas",4133,188,2023,182,2048,200,258,95,1790,204,0,23,0,23,0,23,57,40,19,18,38,35,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,5,12,0,23,5,12,0,23,0,23,0,23
0500000US48117,"Deaf Smith County, Texas",6022,201,2396,223,3594,233,640,194,2954,271,0,23,0,23,0,23,10,14,0,23,10,14,0,23,0,23,0,23,0,23,0,23,0,23,4,10,4,10,0,23,0,23,0,23,0,23,9,23,0,23,9,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,9,15,0,23,9,15
0500000US48119,"Delta County, Texas",2106,118,2043,122,46,34,9,13,37,32,0,21,0,21,0,21,7,12,0,21,7,12,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,4,9,0,21,4,9,6,10,0,21,6,10,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48121,"Denton County, Texas",334504,1296,247965,1829,46100,1274,6604,932,39496,1343,1634,343,63,53,1571,340,1558,348,38,46,1520,342,1766,359,274,157,1492,343,9733,716,679,226,9054,692,4240,495,1421,305,2819,399,3263,522,645,208,2618,482,2512,352,598,174,1914,329,1166,288,104,82,1062,264,9319,797,937,262,8382,773,1612,446,174,118,1438,450,3636,502,19,35,3617,490
0500000US48123,"DeWitt County, Texas",6586,246,5311,288,1178,193,95,70,1083,196,5,6,0,23,5,6,26,23,0,23,26,23,36,34,0,23,36,34,23,31,0,23,23,31,0,23,0,23,0,23,0,23,0,23,0,23,7,12,0,23,7,12,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
0500000US48125,"Dickens County, Texas",638,69,537,64,98,37,7,11,91,37,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,3,6,0,15,3,6,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48127,"Dimmit County, Texas",2808,248,401,135,2364,244,340,162,2024,249,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,4,8,4,8,0,21,0,21,0,21,0,21,0,21,0,21,0,21,3,5,0,21,3,5,9,12,0,21,9,12,0,21,0,21,0,21,0,21,0,21,0,21,27,31,0,21,27,31
0500000US48129,"Donley County, Texas",1198,100,1129,106,52,37,32,39,20,16,4,6,0,15,4,6,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,13,16,0,15,13,16,0,15,0,15,0,15,0,15,0,15,0,15
