Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Income in the past 12 months below poverty level:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak only English,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak only English,Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak Spanish,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak Spanish,Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak other Indo-European languages,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak other Indo-European languages,Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak Asian and Pacific Island languages,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak Asian and Pacific Island languages,Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak other languages,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak other languages,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak only English,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak only English,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak Spanish,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak Spanish,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak other Indo-European languages,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak other Indo-European languages,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak Asian and Pacific Island languages,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak Asian and Pacific Island languages,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak other languages,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak other languages,Estimate!!Total:!!Income in the past 12 months at or above poverty level:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak only English,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak only English,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak Spanish,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak Spanish,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak other Indo-European languages,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak other Indo-European languages,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak Asian and Pacific Island languages,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak Asian and Pacific Island languages,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak other languages,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak other languages,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak only English,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak only English,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak Spanish,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak Spanish,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak other Indo-European languages,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak other Indo-European languages,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak Asian and Pacific Island languages,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak Asian and Pacific Island languages,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak other languages,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak other languages
0400000US48,Texas,26720703,3141,3590691,32178,1013378,15582,520475,9610,455818,10573,11099,1473,10741,1473,15245,2091,2577313,20031,1420471,12280,998372,12412,51180,2840,68539,3237,38751,2817,23130012,32411,4397405,15710,3074501,17515,1112074,10823,78394,3110,99301,3482,33135,2510,18732607,20100,12276796,28236,5096548,18322,500083,8258,650718,8598,208462,6667
0500000US48001,"Anderson County, Texas",42555,184,6162,932,1635,413,1417,374,153,125,65,91,0,35,0,35,4527,656,3919,676,444,254,36,58,128,109,0,35,36393,954,6396,417,5848,402,548,180,0,35,0,35,0,35,29997,684,27712,834,1934,477,23,22,155,81,173,120
0500000US48003,"Andrews County, Texas",16729,13,1989,684,553,331,439,298,114,111,0,23,0,23,0,23,1436,428,600,250,836,381,0,23,0,23,0,23,14740,684,3569,331,2581,397,988,296,0,23,0,23,0,23,11171,429,6483,439,4567,467,18,35,30,32,73,102
0500000US48005,"Angelina County, Texas",78480,238,12365,1514,3696,695,2406,550,1166,428,0,35,0,35,124,168,8669,1026,7047,807,1486,545,36,49,12,19,88,125,66115,1511,12351,719,9809,589,2354,465,10,17,51,55,127,174,53764,1013,44081,844,8849,663,210,133,379,100,245,225
0500000US48007,"Aransas County, Texas",22697,9,3898,825,902,324,902,324,0,28,0,28,0,28,0,28,2996,629,1998,527,969,431,22,40,7,7,0,28,18799,825,2222,334,1967,294,255,216,0,28,0,28,0,28,16577,646,13600,652,2427,498,158,95,381,281,11,17
0500000US48009,"Archer County, Texas",8142,39,965,196,310,86,284,79,26,24,0,21,0,21,0,21,655,153,603,149,44,33,6,7,2,4,0,21,7177,200,1190,91,1083,101,76,62,27,40,4,7,0,21,5987,161,5596,178,322,90,66,64,3,5,0,21
0500000US48011,"Armstrong County, Texas",1737,128,101,52,13,16,13,16,0,15,0,15,0,15,0,15,88,47,62,34,26,28,0,15,0,15,0,15,1636,145,296,52,296,52,0,15,0,15,0,15,0,15,1340,121,1234,104,102,47,0,15,2,3,2,3
0500000US48013,"Atascosa County, Texas",45263,210,6190,948,1576,448,1211,405,365,227,0,31,0,31,0,31,4614,700,2518,460,2034,449,62,89,0,31,0,31,39073,998,8028,465,5531,601,2413,518,11,13,2,4,71,90,31045,709,17740,885,12948,935,195,122,87,101,75,101
0500000US48015,"Austin County, Texas",28479,104,3186,646,616,217,488,181,113,116,15,25,0,31,0,31,2570,527,2124,490,419,233,27,33,0,31,0,31,25293,655,4841,227,3823,312,956,238,31,49,29,62,2,3,20452,545,15594,515,4079,435,661,257,111,119,7,11
0500000US48017,"Bailey County, Texas",6120,142,752,318,176,186,3,5,173,186,0,21,0,21,0,21,576,211,288,140,199,151,17,30,72,60,0,21,5368,297,1084,209,396,169,683,175,5,11,0,21,0,21,4284,229,1637,308,2599,293,48,58,0,21,0,21
0500000US48019,"Bandera County, Texas",20070,178,2778,603,484,257,481,256,0,28,3,12,0,28,0,28,2294,514,2011,486,276,149,7,12,0,28,0,28,17292,636,2116,268,1875,255,229,167,0,28,12,18,0,28,15176,510,12976,466,1916,313,202,95,51,35,31,51
0500000US48021,"Bastrop County, Texas",89649,166,10168,1881,3452,965,1252,582,2200,739,0,35,0,35,0,35,6716,1160,3983,815,2663,671,66,70,4,7,0,35,79481,1885,15220,941,9956,690,5240,847,0,35,0,35,24,37,64261,1198,46293,1466,16531,1378,786,338,532,161,119,98
0500000US48023,"Baylor County, Texas",3234,59,377,118,44,25,44,25,0,15,0,15,0,15,0,15,333,110,248,93,85,45,0,15,0,15,0,15,2857,111,611,85,554,99,0,15,57,62,0,15,0,15,2246,131,2132,125,71,60,24,29,19,29,0,15
0500000US48025,"Bee County, Texas",22020,221,4055,775,1001,337,909,322,92,83,0,31,0,31,0,31,3054,558,1790,412,1264,319,0,31,0,31,0,31,17965,803,3571,313,3155,364,406,167,0,31,10,21,0,31,14394,592,8385,531,5769,672,194,122,37,43,9,10
0500000US48027,"Bell County, Texas",331730,784,46986,3522,15275,1980,12098,1905,2885,867,110,104,65,67,117,106,31711,2180,24378,1902,5632,821,736,322,698,291,267,157,284744,3550,56293,1979,49183,1830,5473,768,794,314,557,233,286,212,228451,2196,181707,2516,34108,1489,4792,678,6008,610,1836,471
0500000US48029,"Bexar County, Texas",1845485,1244,270452,7874,76767,3937,50212,3364,23775,2234,1224,506,572,305,984,441,193685,5226,96622,3589,88455,3722,2818,628,3709,807,2081,638,1575033,8283,288698,4331,220387,4712,60378,2490,3333,685,3198,596,1402,455,1286335,5252,773232,6646,459521,6079,20723,2076,25720,1473,7139,1382
0500000US48031,"Blanco County, Texas",11077,83,988,309,176,102,153,98,0,23,23,35,0,23,0,23,812,275,761,272,41,46,10,18,0,23,0,23,10089,325,1455,149,1440,144,2,4,0,23,13,17,0,23,8634,288,7549,353,845,223,94,64,145,128,1,4
0500000US48033,"Borden County, Texas",626,126,11,12,0,15,0,15,0,15,0,15,0,15,0,15,11,12,5,6,6,9,0,15,0,15,0,15,615,126,175,70,172,69,0,15,3,5,0,15,0,15,440,75,418,73,22,31,0,15,0,15,0,15
0500000US48035,"Bosque County, Texas",17117,41,1978,402,550,154,517,155,33,33,0,23,0,23,0,23,1428,299,1060,246,355,174,0,23,13,14,0,23,15139,405,2353,157,2030,140,323,122,0,23,0,23,0,23,12786,299,10853,286,1762,257,73,58,89,41,9,12
0500000US48037,"Bowie County, Texas",81350,98,13644,1328,3504,580,3310,575,129,118,65,73,0,35,0,35,10140,1027,9601,995,415,185,96,84,28,39,0,35,67706,1335,12672,577,12034,583,558,196,24,42,56,49,0,35,55034,1030,51735,1122,2101,395,595,411,554,168,49,45
0500000US48039,"Brazoria County, Texas",337987,355,25302,2206,6611,883,4302,796,2019,421,14,28,123,131,153,201,18691,1642,12596,1287,5361,750,33,42,567,258,134,158,312685,2274,65736,927,51973,1626,10814,1317,1118,573,1658,385,173,187,246949,1691,175485,2531,49569,1912,4926,1164,14349,922,2620,1266
0500000US48041,"Brazos County, Texas",203890,285,49871,2546,6725,1007,4470,812,1884,467,195,120,122,105,54,91,43146,1871,33945,1631,6123,863,1182,372,1479,394,417,251,154019,2531,26509,1021,20169,958,4725,586,515,220,976,295,124,92,127510,1827,97235,1817,20580,873,3218,566,5289,565,1188,370
0500000US48043,"Brewster County, Texas",8784,249,1402,418,186,192,184,193,2,12,0,21,0,21,0,21,1216,294,902,292,295,195,9,16,10,12,0,21,7382,482,1089,307,919,277,170,171,0,21,0,21,0,21,6293,296,4199,376,1947,302,44,44,53,87,50,76
0500000US48045,"Briscoe County, Texas",1233,152,306,106,10,12,10,12,0,15,0,15,0,15,0,15,296,106,243,101,53,42,0,15,0,15,0,15,927,175,181,93,82,48,99,91,0,15,0,15,0,15,746,118,573,102,173,77,0,15,0,15,0,15
0500000US48047,"Brooks County, Texas",6352,144,2044,620,514,311,433,329,81,120,0,21,0,21,0,21,1530,442,233,160,1297,428,0,21,0,21,0,21,4308,633,864,297,565,245,250,150,0,21,49,77,0,21,3444,538,796,222,2627,517,0,21,21,34,0,21
0500000US48049,"Brown County, Texas",34411,113,4353,674,927,250,868,225,59,72,0,31,0,31,0,31,3426,521,2606,435,799,243,21,22,0,31,0,31,30058,667,4855,263,4153,291,657,184,0,31,45,55,0,31,25203,520,20901,568,4078,454,150,81,58,51,16,18
0500000US48051,"Burleson County, Texas",16770,111,2109,541,548,221,344,169,204,139,0,23,0,23,0,23,1561,375,1061,278,496,250,4,9,0,23,0,23,14661,577,2378,273,2069,263,265,155,0,23,44,39,0,23,12283,383,10394,492,1805,387,38,29,46,35,0,23
0500000US48053,"Burnet County, Texas",46237,178,3642,662,833,274,740,272,93,90,0,31,0,31,0,31,2809,498,2386,480,423,209,0,31,0,31,0,31,42595,713,6666,361,5786,430,834,230,14,20,32,41,0,31,35929,488,30700,762,4876,575,204,101,126,103,23,27
0500000US48055,"Caldwell County, Texas",41103,110,5545,903,1302,424,864,298,433,300,5,12,0,31,0,31,4243,616,2799,423,1415,432,0,31,0,31,29,46,35558,902,6228,453,4590,578,1638,428,0,31,0,31,0,31,29330,615,18512,742,10569,764,113,110,93,81,43,50
0500000US48057,"Calhoun County, Texas",18583,55,1699,409,382,202,272,212,89,98,0,28,21,31,0,28,1317,358,625,195,645,281,0,28,47,45,0,28,16884,423,3075,221,2460,250,496,220,0,28,119,40,0,28,13809,376,10092,553,3076,450,48,56,581,75,12,14
0500000US48059,"Callahan County, Texas",12958,91,1092,254,223,93,223,93,0,23,0,23,0,23,0,23,869,198,799,180,70,55,0,23,0,23,0,23,11866,285,1927,145,1797,150,75,64,55,67,0,23,0,23,9939,198,9162,233,581,142,137,93,59,54,0,23
0500000US48061,"Cameron County, Texas",387937,226,94211,4119,32974,2017,11930,1674,21021,1606,0,35,23,42,0,35,61237,2755,12742,1274,48084,2404,97,65,251,206,63,89,293726,4118,59224,2001,25905,1873,32988,1705,121,83,163,86,47,92,234502,2746,61847,2414,170148,2608,990,291,1348,213,169,168
0500000US48063,"Camp County, Texas",11669,188,2409,567,640,246,472,245,168,99,0,23,0,23,0,23,1769,406,1401,386,264,132,69,89,0,23,35,48,9260,599,1851,315,1588,326,263,149,0,23,0,23,0,23,7409,408,6486,350,877,233,18,28,28,38,0,23
0500000US48065,"Carson County, Texas",5382,87,392,165,112,108,111,107,1,3,0,21,0,21,0,21,280,99,250,97,26,28,4,9,0,21,0,21,4990,184,883,127,883,127,0,21,0,21,0,21,0,21,4107,115,3975,131,119,57,6,8,7,13,0,21
0500000US48067,"Cass County, Texas",26612,53,4759,560,1388,289,1245,304,132,179,2,4,0,28,9,14,3371,416,3059,385,200,100,0,28,103,160,9,13,21853,563,3370,289,3168,289,15,18,107,80,80,75,0,28,18483,415,17710,481,345,185,143,109,268,194,17,27
0500000US48069,"Castro County, Texas",6724,61,791,238,196,123,135,99,61,58,0,21,0,21,0,21,595,180,245,85,350,151,0,21,0,21,0,21,5933,254,1368,118,740,161,628,164,0,21,0,21,0,21,4565,199,2059,203,2451,218,0,21,55,55,0,21
0500000US48071,"Chambers County, Texas",43665,177,5849,1249,1817,557,1211,527,594,379,0,31,0,31,12,23,4032,900,2856,696,1066,590,0,31,104,151,6,9,37816,1255,7916,577,6785,642,1131,372,0,31,0,31,0,31,29900,890,23849,802,5529,655,163,109,339,182,20,32
0500000US48073,"Cherokee County, Texas",43891,136,6776,881,1795,424,1163,381,632,266,0,35,0,35,0,35,4981,596,3646,554,1299,278,6,11,24,31,6,13,37115,894,7567,432,5444,438,2121,326,0,35,2,3,0,35,29548,596,24331,675,5095,387,2,7,119,64,1,2
0500000US48075,"Childress County, Texas",4952,101,686,252,38,48,36,47,2,4,0,21,0,21,0,21,648,249,363,156,285,218,0,21,0,21,0,21,4266,283,840,154,704,136,136,145,0,21,0,21,0,21,3426,277,2825,372,601,352,0,21,0,21,0,21
0500000US48077,"Clay County, Texas",9726,59,891,211,142,64,137,64,5,6,0,23,0,23,0,23,749,180,718,173,30,32,0,23,1,3,0,23,8835,220,1456,87,1332,89,97,59,5,9,22,25,0,23,7379,181,7016,182,286,86,32,34,37,19,8,12
0500000US48079,"Cochran County, Texas",2281,31,591,143,153,60,60,36,93,50,0,15,0,15,0,15,438,99,168,51,269,93,0,15,0,15,1,5,1690,142,303,66,211,65,54,27,38,35,0,15,0,15,1387,94,698,74,656,90,33,35,0,15,0,15
0500000US48081,"Coke County, Texas",3042,53,503,146,46,35,41,32,5,8,0,15,0,15,0,15,457,133,370,124,87,55,0,15,0,15,0,15,2539,149,452,53,426,57,26,26,0,15,0,15,0,15,2087,132,1874,118,187,69,0,15,26,29,0,15
0500000US48083,"Coleman County, Texas",7367,100,1135,318,194,112,163,99,31,31,0,21,0,21,0,21,941,262,695,173,242,187,4,6,0,21,0,21,6232,355,1100,195,865,131,235,135,0,21,0,21,0,21,5132,288,4301,271,782,132,4,6,41,40,4,8
0500000US48085,"Collin County, Texas",1008686,433,62501,3993,13710,1644,7538,1253,4053,968,805,322,915,307,399,268,48791,2880,28464,2199,9448,1353,4408,868,5213,924,1258,484,946185,4026,193048,1744,147173,2479,18833,1660,11520,1179,12669,884,2853,636,753137,2871,524969,3822,80365,2522,58093,2990,72776,2519,16934,1873
0500000US48087,"Collingsworth County, Texas",2611,169,576,223,153,92,153,92,0,15,0,15,0,15,0,15,423,151,382,137,39,37,2,4,0,15,0,15,2035,235,508,105,491,112,5,9,12,18,0,15,0,15,1527,186,1218,150,250,90,59,46,0,15,0,15
0500000US48089,"Colorado County, Texas",18816,237,1454,354,275,146,188,120,86,112,1,2,0,28,0,28,1179,283,909,228,270,183,0,28,0,28,0,28,17362,377,3089,242,2504,276,585,208,0,28,0,28,0,28,14273,284,11250,430,2862,382,111,68,15,27,35,48
0500000US48091,"Comal County, Texas",155188,151,9615,1388,1462,588,1257,561,205,140,0,35,0,35,0,35,8153,1078,5931,887,1983,591,130,108,5,7,104,159,145573,1409,26114,598,23356,738,2572,534,146,112,22,40,18,33,119459,1080,99597,1460,16721,1148,1879,504,1008,234,254,170
0500000US48093,"Comanche County, Texas",12724,16,1609,355,375,150,278,147,90,75,0,23,7,11,0,23,1234,273,974,246,214,113,9,11,24,27,13,19,11115,357,1954,159,1464,181,467,172,10,16,0,23,13,17,9161,275,7127,340,1907,208,116,108,10,13,1,2
0500000US48095,"Concho County, Texas",2288,110,308,139,148,90,148,90,0,15,0,15,0,15,0,15,160,68,103,51,57,47,0,15,0,15,0,15,1980,143,314,116,249,97,65,65,0,15,0,15,0,15,1666,98,1202,130,448,101,3,6,11,14,2,5
0500000US48097,"Cooke County, Texas",38554,81,4925,697,1726,395,1045,333,681,354,0,31,0,31,0,31,3199,420,2466,345,715,287,18,31,0,31,0,31,33629,703,5090,397,4331,355,653,254,97,133,9,13,0,31,28539,422,25260,513,2921,372,222,185,133,103,3,4
0500000US48099,"Coryell County, Texas",61512,416,6232,935,1457,388,1204,360,242,132,0,35,11,16,0,35,4775,638,4008,587,561,201,87,78,119,78,0,35,55280,965,11516,435,10555,505,729,205,129,93,103,67,0,35,43764,644,37502,737,4100,507,1208,265,879,210,75,64
0500000US48101,"Cottle County, Texas",1546,326,321,153,84,66,84,66,0,15,0,15,0,15,0,15,237,107,144,92,93,62,0,15,0,15,0,15,1225,314,236,124,232,124,4,6,0,15,0,15,0,15,989,250,831,193,156,143,2,6,0,15,0,15
0500000US48103,"Crane County, Texas",4070,89,172,121,0,15,0,15,0,15,0,15,0,15,0,15,172,121,121,99,51,61,0,15,0,15,0,15,3898,153,754,125,418,157,282,142,0,15,54,44,0,15,3144,142,1497,275,1578,250,6,11,63,42,0,15
0500000US48105,"Crockett County, Texas",2789,249,269,160,0,15,0,15,0,15,0,15,0,15,0,15,269,160,31,44,238,145,0,15,0,15,0,15,2520,294,432,148,252,134,180,145,0,15,0,15,0,15,2088,334,868,205,1220,363,0,15,0,15,0,15
0500000US48107,"Crosby County, Texas",4733,40,1032,184,357,92,318,93,39,27,0,21,0,21,0,21,675,124,370,86,286,89,0,21,19,25,0,21,3701,184,622,97,473,83,149,69,0,21,0,21,0,21,3079,121,1933,127,1105,150,9,8,32,31,0,21
0500000US48109,"Culberson County, Texas",2133,54,447,279,188,206,188,206,0,15,0,15,0,15,0,15,259,132,151,106,108,79,0,15,0,15,0,15,1686,274,111,104,76,84,35,55,0,15,0,15,0,15,1575,275,278,122,1289,315,0,15,8,13,0,15
0500000US48111,"Dallam County, Texas",6488,89,450,237,94,99,73,91,21,32,0,21,0,21,0,21,356,194,119,100,215,155,21,29,0,21,1,3,6038,272,1535,120,1078,254,444,232,13,16,0,21,0,21,4503,208,3020,309,1353,318,130,136,0,21,0,21
0500000US48113,"Dallas County, Texas",2393863,645,322378,8616,98731,4248,43280,2996,51403,3198,1239,399,1142,460,1667,565,223647,5609,119095,4169,84015,3625,6473,897,7919,931,6145,1029,2071485,8543,380646,4281,203396,4250,153836,3442,7063,795,11245,941,5106,878,1690839,5590,990506,5386,538334,5300,53718,2478,74807,2378,33474,2632
0500000US48115,"Dawson County, Texas",9720,65,2316,570,703,267,563,272,119,97,21,16,0,23,0,23,1613,394,608,196,961,324,44,49,0,23,0,23,7404,580,1572,267,1312,232,219,131,41,41,0,23,0,23,5832,401,3536,332,2198,277,93,67,0,23,5,12
0500000US48117,"Deaf Smith County, Texas",16740,82,2531,678,880,361,457,240,423,319,0,23,0,23,0,23,1651,414,605,183,1042,391,0,23,4,10,0,23,14209,685,3186,369,1430,338,1756,482,0,23,0,23,0,23,11023,412,4817,443,6180,536,10,14,9,23,7,12
0500000US48119,"Delta County, Texas",4824,65,603,145,91,52,89,52,2,4,0,21,0,21,0,21,512,134,504,133,4,7,0,21,4,9,0,21,4221,163,714,134,705,130,9,15,0,21,0,21,0,21,3507,135,3391,161,101,75,9,16,6,10,0,21
0500000US48121,"Denton County, Texas",850118,384,61781,3438,12986,1470,9162,1177,2847,778,215,121,333,181,429,253,48795,2598,36341,2065,7252,1193,1568,514,2576,711,1058,532,788337,3478,150647,1562,119927,1982,18599,1458,3852,594,7580,775,689,273,637690,2623,485208,4102,80050,2446,25514,1717,39184,1497,7734,1134
0500000US48123,"DeWitt County, Texas",16655,130,2604,488,463,185,380,189,83,70,0,23,0,23,0,23,2141,378,1508,326,616,220,4,4,13,23,0,23,14051,512,2674,255,2575,237,99,93,0,23,0,23,0,23,11377,396,9766,403,1457,273,94,52,60,94,0,23
0500000US48125,"Dickens County, Texas",1390,166,183,69,21,19,21,19,0,15,0,15,0,15,0,15,162,56,104,45,57,31,0,15,1,2,0,15,1207,152,180,52,180,52,0,15,0,15,0,15,0,15,1027,121,898,116,123,64,6,11,0,15,0,15
0500000US48127,"Dimmit County, Texas",7995,17,3277,743,948,364,785,398,163,131,0,21,0,21,0,21,2329,512,588,349,1728,537,0,21,0,21,13,22,4718,738,906,326,867,315,39,50,0,21,0,21,0,21,3812,564,1044,335,2687,475,9,18,49,44,23,36
0500000US48129,"Donley County, Texas",2826,34,326,115,71,63,65,64,6,9,0,15,0,15,0,15,255,83,241,80,14,20,0,15,0,15,0,15,2500,124,438,112,397,120,40,34,1,2,0,15,0,15,2062,112,1968,106,72,43,0,15,22,31,0,15
0500000US48131,"Duval County, Texas",8678,91,1759,517,512,239,416,214,96,107,0,21,0,21,0,21,1247,391,340,170,907,372,0,21,0,21,0,21,6919,539,1274,275,1029,260,245,96,0,21,0,21,0,21,5645,389,1881,370,3725,398,39,59,0,21,0,21
0500000US48133,"Eastland County, Texas",15938,63,2572,425,445,153,389,139,56,72,0,23,0,23,0,23,2127,373,1801,348,322,169,0,23,4,7,0,23,13366,420,2274,148,2113,177,161,184,0,23,0,23,0,23,11092,375,9822,476,1128,255,57,50,84,85,1,2
0500000US48135,"Ector County, Texas",146299,248,21741,2850,7601,1390,3156,801,4442,1131,3,3,0,35,0,35,14140,1756,4841,767,9067,1531,13,24,71,78,148,181,124558,2859,27009,1409,18139,1297,8687,1188,46,69,47,53,90,128,97549,1753,49496,1597,45639,1695,755,283,918,228,741,392
0500000US48137,"Edwards County, Texas",1301,191,295,188,84,88,36,61,48,72,0,15,0,15,0,15,211,120,131,104,80,76,0,15,0,15,0,15,1006,228,141,82,66,59,75,67,0,15,0,15,0,15,865,185,515,163,350,178,0,15,0,15,0,15
0500000US48139,"Ellis County, Texas",180905,166,13962,1742,4599,923,3434,770,1136,436,0,35,29,46,0,35,9363,1059,6601,783,2627,652,67,62,43,50,25,29,166943,1770,33883,944,28504,1018,5134,748,69,72,14,21,162,198,133060,1058,108245,1255,22601,1095,971,270,522,156,721,394
0500000US48141,"El Paso County, Texas",790554,516,149679,5691,44355,2628,12183,1324,31888,2465,91,100,184,155,9,14,105324,3846,23120,1614,80961,3356,446,155,629,213,168,105,640875,5704,123573,2600,54900,2541,67073,2796,666,365,637,258,297,347,517302,3874,149249,3317,356356,4236,5021,753,5179,499,1497,572
0500000US48143,"Erath County, Texas",37851,92,6008,791,695,326,494,220,201,319,0,31,0,31,0,31,5313,645,4277,601,901,396,46,70,89,89,0,31,31843,790,5579,347,4464,350,994,311,121,101,0,31,0,31,26264,666,22357,685,3320,428,360,183,206,107,21,34
0500000US48145,"Falls County, Texas",14287,227,2330,485,576,199,489,185,87,63,0,23,0,23,0,23,1754,362,1422,321,329,127,3,6,0,23,0,23,11957,480,2141,180,1899,230,112,77,49,73,0,23,81,89,9816,381,8613,509,933,300,206,181,0,23,64,60
0500000US48147,"Fannin County, Texas",31286,97,3986,622,761,243,664,226,97,68,0,31,0,31,0,31,3225,461,2817,424,362,221,17,20,29,36,0,31,27300,633,5005,265,4353,287,634,172,0,31,0,31,18,24,22295,448,20372,457,1694,357,144,90,63,56,22,23
0500000US48149,"Fayette County, Texas",22947,36,2348,475,514,197,432,193,82,90,0,28,0,28,0,28,1834,375,1455,317,371,262,8,10,0,28,0,28,20599,473,3203,211,2456,247,734,237,13,16,0,28,0,28,17396,372,14508,359,2553,379,289,130,46,38,0,28
0500000US48151,"Fisher County, Texas",3414,59,415,126,106,58,101,57,5,8,0,15,0,15,0,15,309,86,248,69,61,36,0,15,0,15,0,15,2999,121,435,89,429,91,6,9,0,15,0,15,0,15,2564,117,2069,150,474,99,12,17,9,13,0,15
0500000US48153,"Floyd County, Texas",5017,28,905,275,149,79,112,76,37,32,0,21,0,21,0,21,756,214,445,150,295,122,0,21,16,24,0,21,4112,274,925,85,607,109,301,93,17,24,0,21,0,21,3187,217,1882,189,1299,192,6,9,0,21,0,21
0500000US48155,"Foard County, Texas",980,148,226,82,113,52,113,52,0,15,0,15,0,15,0,15,113,51,81,37,32,41,0,15,0,15,0,15,754,146,56,35,56,35,0,15,0,15,0,15,0,15,698,136,682,135,14,15,0,15,2,4,0,15
0500000US48157,"Fort Bend County, Texas",773866,583,51789,4630,13270,2081,6936,1267,3393,1101,774,362,698,443,1469,1083,38519,3047,19094,1752,9611,1497,3344,786,3383,788,3087,1510,722077,4612,157568,2115,109521,2830,22477,1779,8628,965,12903,1254,4039,904,564509,3051,323515,5005,97905,2970,51697,3437,70016,3127,21376,2776
0500000US48159,"Franklin County, Texas",9583,177,802,281,198,143,187,142,11,19,0,23,0,23,0,23,604,199,540,184,64,63,0,23,0,23,0,23,8781,360,1462,249,1324,176,138,119,0,23,0,23,0,23,7319,196,6307,212,903,83,94,79,15,25,0,23
0500000US48161,"Freestone County, Texas",17143,85,2115,530,382,193,355,191,27,33,0,23,0,23,0,23,1733,389,1573,365,131,118,21,32,8,14,0,23,15028,542,2973,220,2568,255,405,186,0,23,0,23,0,23,12055,399,10914,353,1098,292,30,42,13,20,0,23
0500000US48163,"Frio County, Texas",13685,647,2521,793,764,425,283,161,481,386,0,23,0,23,0,23,1757,494,384,271,1373,426,0,23,0,23,0,23,11164,841,1950,425,1778,402,172,154,0,23,0,23,0,23,9214,573,4410,764,4782,774,5,9,17,36,0,23
