"","County","Population_5_Years_Over","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual","Region","Rural_Urban_Stat"
"128","Jones",18987,2137,32,160,32,0.113,0.002,0.008,0.002,"Northwest","Urban"
"129","Karnes",14034,2267,52,121,6,0.162,0.004,0.009,0,"Alamo","Rural"
"130","Kaufman",139084,16438,806,951,1991,0.118,0.006,0.007,0.014,"Metroplex","Urban"
"131","Kendall",43340,3316,278,173,81,0.077,0.006,0.004,0.002,"Alamo","Urban"
"132","Kenedy",88,35,0,1,0,0.398,0,0.011,0,"South Texas","Rural"
"133","Kent",615,19,0,0,0,0.031,0,0,0,"Northwest","Rural"
"134","Kerr",50237,4621,111,181,115,0.092,0.002,0.004,0.002,"Alamo","Rural"
"135","Kimble",4078,492,0,0,14,0.121,0,0,0.003,"West Texas","Rural"
"136","King",202,25,0,0,0,0.124,0,0,0,"High Plains","Rural"
"137","Kinney",3022,906,0,0,0,0.3,0,0,0,"South Texas","Rural"
"138","Kleberg",28685,7702,434,72,90,0.269,0.015,0.003,0.003,"South Texas","Rural"
"139","Knox",3176,508,0,12,0,0.16,0,0.004,0,"Northwest","Rural"
"140","Lamar",46934,1847,233,572,154,0.039,0.005,0.012,0.003,"Upper East","Rural"
"141","Lamb",12129,3689,4,32,0,0.304,0,0.003,0,"High Plains","Rural"
"142","Lampasas",20763,1126,66,456,0,0.054,0.003,0.022,0,"Central Texas","Urban"
"143","La Salle",6753,3348,0,0,7,0.496,0,0,0.001,"South Texas","Rural"
"144","Lavaca",19204,1454,53,438,10,0.076,0.003,0.023,0.001,"Alamo","Rural"
"145","Lee",16445,1700,38,225,0,0.103,0.002,0.014,0,"Capitol","Rural"
"146","Leon",15095,1121,1,101,5,0.074,0,0.007,0,"Central Texas","Rural"
"147","Liberty",86674,13738,209,235,90,0.159,0.002,0.003,0.001,"Gulf Coast","Urban"
"148","Limestone",20925,2618,37,23,0,0.125,0.002,0.001,0,"Central Texas","Rural"
"149","Lipscomb",2823,423,6,4,0,0.15,0.002,0.001,0,"High Plains","Rural"
"150","Live Oak",10737,2195,126,136,25,0.204,0.012,0.013,0.002,"South Texas","Rural"
"151","Llano",20880,869,14,157,0,0.042,0.001,0.008,0,"Capitol","Rural"
"152","Loving",73,11,0,0,0,0.151,0,0,0,"West Texas","Rural"
"153","Lubbock",291818,39246,2895,1968,1638,0.134,0.01,0.007,0.006,"High Plains","Urban"
"154","Lynn",5251,890,4,25,7,0.169,0.001,0.005,0.001,"High Plains","Urban"
"155","McCulloch",7225,1356,8,49,0,0.188,0.001,0.007,0,"West Texas","Rural"
"156","McLennan",244156,18963,1451,1908,184,0.078,0.006,0.008,0.001,"Central Texas","Urban"
