"","Geographic.Area.Name","Estimate..Total..Population.5.years.and.over","NonEnglish_Language_Estimate","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"83","Frio County, Texas",17037,8840,8592,33,161,54,5182,22,84,11,0.603,0.667,0.522,0.204
"84","Gaines County, Texas",19353,10600,4916,71,5579,34,3017,59,2797,34,0.614,0.831,0.501,1
"85","Galveston County, Texas",330121,67260,52424,7491,6312,1033,36118,4880,4963,884,0.689,0.651,0.786,0.856
"86","Garza County, Texas",5570,1962,1894,52,0,16,896,22,0,6,0.473,0.423,0,0.375
"87","Gillespie County, Texas",25686,4469,3783,58,628,0,1836,41,487,0,0.485,0.707,0.775,0
"88","Glasscock County, Texas",992,270,196,0,28,46,96,0,28,46,0.49,0,1,1
"89","Goliad County, Texas",6842,1344,1224,10,110,0,871,3,110,0,0.712,0.3,1,0
"90","Gonzales County, Texas",18342,5439,5248,138,38,15,2923,41,38,15,0.557,0.297,1,1
"91","Gray County, Texas",19934,4040,3941,46,51,2,2355,43,20,2,0.598,0.935,0.392,1
"92","Grayson County, Texas",128586,15188,12801,921,1308,158,7870,420,1125,151,0.615,0.456,0.86,0.956
"93","Gregg County, Texas",116013,19780,17485,1193,819,283,11890,774,607,257,0.68,0.649,0.741,0.908
"94","Grimes County, Texas",27851,5619,5274,67,223,55,3377,24,197,13,0.64,0.358,0.883,0.236
"95","Guadalupe County, Texas",163666,35515,31589,1905,1742,279,23066,1148,1436,87,0.73,0.603,0.824,0.312
"96","Hale County, Texas",30506,11575,11244,58,187,86,8228,29,135,15,0.732,0.5,0.722,0.174
"97","Hall County, Texas",2723,760,752,8,0,0,544,4,0,0,0.723,0.5,0,0
"98","Hamilton County, Texas",7825,903,791,1,111,0,484,1,90,0,0.612,1,0.811,0
"99","Hansford County, Texas",4888,1742,1742,0,0,0,986,0,0,0,0.566,0,0,0
"100","Hardeman County, Texas",3359,466,361,33,31,41,194,20,29,41,0.537,0.606,0.935,1
"101","Hardin County, Texas",53152,2420,2083,147,172,18,1190,65,157,0,0.571,0.442,0.913,0
"102","Harris County, Texas",4393352,1968351,1554270,201039,141444,71598,843288,102753,107171,52639,0.543,0.511,0.758,0.735
"103","Harrison County, Texas",65115,6452,5865,212,210,165,3511,137,152,133,0.599,0.646,0.724,0.806
"104","Hartley County, Texas",5077,957,849,2,106,0,586,2,100,0,0.69,1,0.943,0
"105","Haskell County, Texas",5196,1005,987,4,14,0,640,4,3,0,0.648,1,0.214,0
"106","Hays County, Texas",230886,60415,53684,2068,3619,1044,37574,1488,2904,401,0.7,0.72,0.802,0.384
"107","Hemphill County, Texas",3206,1065,1031,0,34,0,657,0,34,0,0.637,0,1,0
"108","Henderson County, Texas",78093,8123,7320,345,453,5,5071,151,262,5,0.693,0.438,0.578,1
"109","Hidalgo County, Texas",801757,656004,647349,5188,2761,706,405071,3632,2158,470,0.626,0.7,0.782,0.666
"110","Hill County, Texas",34081,5174,4815,165,180,14,3237,63,133,10,0.672,0.382,0.739,0.714
"111","Hockley County, Texas",19988,5982,5771,17,160,34,4331,7,102,34,0.75,0.412,0.637,1
"112","Hood County, Texas",59244,5477,4889,116,462,10,3012,40,335,10,0.616,0.345,0.725,1
"113","Hopkins County, Texas",34744,5347,4903,174,254,16,3108,65,254,8,0.634,0.374,1,0.5
"114","Houston County, Texas",21034,2005,1867,97,20,21,1329,70,20,21,0.712,0.722,1,1
"115","Howard County, Texas",32466,9104,8586,154,272,92,5704,138,169,72,0.664,0.896,0.621,0.783
"116","Hudspeth County, Texas",3204,2445,2394,34,7,10,1055,16,2,0,0.441,0.471,0.286,0
"117","Hunt County, Texas",95291,12641,10898,777,606,360,6922,434,539,135,0.635,0.559,0.889,0.375
"118","Hutchinson County, Texas",19379,2943,2858,44,40,1,2152,18,20,1,0.753,0.409,0.5,1
"119","Irion County, Texas",1515,316,316,0,0,0,307,0,0,0,0.972,0,0,0
