"","Geographic.Area.Name","Total..Estimate..Population.5.years.and.over","NonEnglish_Language_Estimate","Percent_Bilangual","Percent_of_Spanish_Bilangual","Percent_of_Asian_Pacific_Bilangual","Percent_of_IndoEuro_Bilangual","Percent_of_Other_Bilangual","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","English_Estimate","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"52","Cottle County, Texas",1508,0.11,0.711,71.6,0,100,0,162,2,2,0,89,116,0,2,0,0.077,0,0.001,0
"53","Crane County, Texas",4048,0.474,0.654,65.3,0,100,0,1913,0,4,0,52.6,1249,0,4,0,0.309,0,0.001,0
"54","Crockett County, Texas",3362,0.419,0.689,69.4,0,31.3,0,1391,0,17,0,58.1,965,0,5,0,0.287,0,0.001,0
"55","Crosby County, Texas",5593,0.346,0.662,66,0,100,0,1924,0,11,0,65.4,1270,0,11,0,0.227,0,0.002,0
"56","Culberson County, Texas",2232,0.643,0.797,79.4,0,100,0,1415,0,16,6,35.7,1124,0,16,0,0.504,0,0.007,0
"57","Dallam County, Texas",6105,0.347,0.489,52.6,0,31.6,0,1792,31,293,0,65.3,943,0,93,0,0.154,0,0.015,0
"58","Dallas County, Texas",2185375,0.401,0.521,50.1,51.6,73,30.2,725958,74987,50264,25428,59.9,363705,38693,36693,7679,0.166,0.018,0.017,0.004
"59","Dawson County, Texas",12793,0.378,0.668,66.6,100,71.4,0,4667,11,154,0,62.2,3108,11,110,0,0.243,0.001,0.009,0
"60","Deaf Smith County, Texas",17396,0.522,0.608,61.5,61.1,52.9,77.3,8860,36,35,150,47.8,5449,22,19,116,0.313,0.001,0.001,0.007
"61","Delta County, Texas",4918,0.042,0.409,38.7,0,100,50,194,0,5,8,95.8,75,0,5,4,0.015,0,0.001,0.001
"62","Denton County, Texas",618167,0.216,0.605,56.4,57.2,78.1,15.9,84135,26549,19163,4014,78.4,47452,15186,14966,638,0.077,0.025,0.024,0.001
"63","DeWitt County, Texas",19003,0.185,0.747,72.7,86.4,96.2,0,3198,44,266,13,81.5,2325,38,256,0,0.122,0.002,0.013,0
"64","Dickens County, Texas",2282,0.15,0.636,63.7,0,0,0,342,1,0,0,85,218,0,0,0,0.096,0,0,0
"65","Dimmit County, Texas",9225,0.731,0.601,59.7,0,97.3,0,6665,0,37,39,26.9,3979,0,36,0,0.431,0,0.004,0
"66","Donley County, Texas",3473,0.071,0.673,68.4,86.7,55,0,193,15,42,0,92.9,132,13,23,0,0.038,0.004,0.007,0
"67","Duval County, Texas",11019,0.666,0.697,69.7,0,100,0,7319,6,22,0,33.4,5101,0,22,0,0.463,0,0.002,0
"68","Eastland County, Texas",17452,0.086,0.645,61.4,81.7,91.8,0,1326,60,105,10,91.4,814,49,96,0,0.047,0.003,0.006,0
"69","Ector County, Texas",125969,0.42,0.668,66.7,66.8,70.8,30.5,51100,719,756,239,58,34084,480,535,73,0.271,0.004,0.004,0.001
"70","Edwards County, Texas",1939,0.49,0.788,78.8,0,0,0,950,0,0,0,51,749,0,0,0,0.386,0,0,0
"71","Ellis County, Texas",138877,0.192,0.606,59.7,65.1,77.7,24.7,24793,696,833,380,80.8,14801,453,647,94,0.107,0.003,0.005,0.001
"72","El Paso County, Texas",735487,0.736,0.582,58,51.3,70.2,24.9,526525,5730,7355,1448,26.4,305384,2939,5163,361,0.415,0.004,0.007,0
"73","Erath County, Texas",35781,0.174,0.617,60.4,72.6,87.4,0,5804,219,179,0,82.6,3506,159,156,0,0.098,0.004,0.004,0
"74","Falls County, Texas",16698,0.166,0.65,63.5,59.2,94.7,0,2494,125,150,0,83.4,1584,74,142,0,0.095,0.004,0.009,0
"75","Fannin County, Texas",31939,0.085,0.632,60.6,82.4,95.6,0,2472,125,128,13,91.5,1498,103,122,0,0.047,0.003,0.004,0
"76","Fayette County, Texas",23227,0.18,0.615,54.9,0,86.5,0,3307,0,883,0,82,1816,0,764,0,0.078,0,0.033,0
"77","Fisher County, Texas",3752,0.183,0.738,74.1,0,65,0,667,0,19,0,81.7,494,0,12,0,0.132,0,0.003,0
"78","Floyd County, Texas",5943,0.37,0.724,72.3,0,100,0,2192,0,6,0,63,1585,0,6,0,0.267,0,0.001,0
"79","Foard County, Texas",1186,0.093,0.827,83,50,100,0,94,6,9,0,90.7,78,3,9,0,0.066,0.003,0.008,0
"80","Fort Bend County, Texas",544450,0.377,0.649,63.8,59.5,73,27.2,101643,53349,38112,12026,62.3,64848,31743,27822,3271,0.119,0.058,0.051,0.006
"81","Franklin County, Texas",9906,0.132,0.567,57.4,0,100,0,1266,25,10,0,86.8,727,0,10,0,0.073,0,0.001,0
"82","Freestone County, Texas",18401,0.114,0.613,61.4,47.8,82.9,100,1931,23,110,34,88.6,1186,11,91,34,0.064,0.001,0.005,0.002
"83","Frio County, Texas",16136,0.607,0.723,72.6,0,55.9,100,9699,19,65,11,39.3,7041,0,36,11,0.436,0,0.002,0.001
"84","Gaines County, Texas",15802,0.491,0.601,55.9,68.8,64.4,0,3995,96,3666,0,50.9,2233,66,2361,0,0.141,0.004,0.149,0
"85","Galveston County, Texas",272873,0.186,0.639,62.5,56.8,80.6,14.2,39854,5507,4912,626,81.4,24909,3128,3959,89,0.091,0.011,0.015,0
"86","Garza County, Texas",5861,0.519,0.189,17.8,100,49,40.6,2954,7,47,32,48.1,526,7,23,13,0.09,0.001,0.004,0.002
"87","Gillespie County, Texas",23562,0.231,0.643,55.6,4.8,84.9,0,3785,21,1602,44,76.9,2104,1,1360,0,0.089,0,0.058,0
"88","Glasscock County, Texas",1195,0.206,0.504,50,0,100,0,244,0,2,0,79.4,122,0,2,0,0.102,0,0.002,0
"89","Goliad County, Texas",6816,0.202,0.707,69.3,77.8,92.3,0,1287,9,75,0,79.8,892,7,69,0,0.131,0.001,0.01,0
"90","Gonzales County, Texas",18308,0.395,0.689,68.4,100,80.4,0,6964,21,238,9,60.5,4763,21,191,0,0.26,0.001,0.01,0
"91","Gray County, Texas",21044,0.182,0.651,64.1,48.1,96,0,3559,106,168,0,81.8,2281,51,161,0,0.108,0.002,0.008,0
"92","Grayson County, Texas",112853,0.097,0.576,54.1,41.4,80.2,16.6,9096,278,1354,199,90.3,4921,115,1086,33,0.044,0.001,0.01,0
"93","Gregg County, Texas",112401,0.157,0.517,49.5,67.9,71,19,15848,834,787,226,84.3,7845,566,559,43,0.07,0.005,0.005,0
"94","Grimes County, Texas",24992,0.183,0.596,60,6.5,78.2,0,4231,124,200,25,81.7,2539,8,156,0,0.102,0,0.006,0
"95","Guadalupe County, Texas",122842,0.246,0.71,70.7,59.6,80.1,0,27274,1047,1843,62,75.4,19283,624,1476,0,0.157,0.005,0.012,0
"96","Hale County, Texas",33212,0.37,0.711,71,70.9,78,0,12059,79,133,11,63,8562,56,104,0,0.258,0.002,0.003,0
"97","Hall County, Texas",3126,0.241,0.595,56.2,100,100,0,696,5,47,5,75.9,391,5,47,0,0.125,0.002,0.015,0
"98","Hamilton County, Texas",7995,0.072,0.632,64.5,0,42.1,0,555,5,16,0,92.8,358,0,7,0,0.045,0,0.001,0
"99","Hansford County, Texas",5126,0.369,0.586,58.3,61.5,100,0,1867,13,10,0,63.1,1088,8,10,0,0.212,0.002,0.002,0
"100","Hardeman County, Texas",3865,0.128,0.623,65.5,0,100,0,469,24,0,0,87.2,307,0,0,0,0.079,0,0,0
"101","Hardin County, Texas",50813,0.039,0.619,64.2,32.7,77.9,100,1504,220,254,12,96.1,966,72,198,12,0.019,0.001,0.004,0
"102","Harris County, Texas",3765122,0.425,0.509,48.8,48,72.9,29.8,1286188,164899,109189,38499,57.5,627660,79152,79599,11473,0.167,0.021,0.021,0.003
"103","Harrison County, Texas",61363,0.102,0.491,45.5,54.6,78.6,0,5554,152,491,111,89.8,2527,83,386,0,0.041,0.001,0.006,0
"104","Hartley County, Texas",5681,0.189,0.613,58.3,0,100,100,977,6,85,1,81.1,570,0,85,1,0.1,0,0.015,0
"105","Haskell County, Texas",5574,0.169,0.452,44.5,0,71.4,51.9,895,0,22,27,83.1,398,0,16,14,0.071,0,0.003,0.003
"106","Hays County, Texas",147847,0.235,0.714,70.5,66.5,85.3,12.4,31163,1152,2218,217,76.5,21970,766,1892,27,0.149,0.005,0.013,0
"107","Hemphill County, Texas",3574,0.236,0.492,49.2,0,55.6,0,836,0,11,0,76.4,411,0,6,0,0.115,0,0.002,0
"108","Henderson County, Texas",73943,0.09,0.587,57.1,23.5,88.5,0,6016,162,518,5,91,3435,38,458,0,0.046,0.001,0.006,0
"109","Hidalgo County, Texas",699054,0.85,0.613,61.2,67,65.7,7.2,586409,4890,2097,652,15,358882,3276,1378,47,0.513,0.005,0.002,0
"110","Hill County, Texas",32787,0.153,0.59,56.7,55.8,85.2,9.8,4510,86,361,41,84.7,2557,48,308,4,0.078,0.001,0.009,0
"111","Hockley County, Texas",21311,0.314,0.725,73.1,52.1,63,94.1,6505,48,107,34,68.6,4755,25,67,32,0.223,0.001,0.003,0.002
"112","Hood County, Texas",48317,0.095,0.622,58.6,88.2,95.7,0,4103,161,290,0,90.5,2404,142,278,0,0.05,0.003,0.006,0
"113","Hopkins County, Texas",32636,0.145,0.538,52.6,62.7,72.5,0,4402,142,163,16,85.5,2315,89,118,0,0.071,0.003,0.004,0
"114","Houston County, Texas",22302,0.092,0.7,71,37.4,77.6,0,1734,107,201,0,90.8,1231,40,156,0,0.055,0.002,0.007,0
"115","Howard County, Texas",32657,0.287,0.558,56.5,40.6,47.4,38.1,8782,318,229,63,71.3,4962,129,109,24,0.152,0.004,0.003,0.001
"116","Hudspeth County, Texas",3162,0.802,0.579,57.4,0,86.1,0,2493,0,35,6,19.8,1431,0,30,0,0.453,0,0.009,0
"117","Hunt County, Texas",80246,0.127,0.621,63.3,37.8,64.3,9.4,8729,624,722,117,87.3,5525,236,464,11,0.069,0.003,0.006,0
"118","Hutchinson County, Texas",20482,0.155,0.658,65.5,75.9,66.2,0,3019,79,82,0,84.5,1977,60,54,0,0.097,0.003,0.003,0
"119","Irion County, Texas",1520,0.203,0.718,72.2,55.6,0,0,299,9,0,0,79.7,216,5,0,0,0.142,0.003,0,0
"120","Jack County, Texas",8574,0.12,0.463,46,0,100,0,981,22,26,0,88,451,0,26,0,0.053,0,0.003,0
"121","Jackson County, Texas",13036,0.225,0.719,69.9,55.6,100,0,2728,9,196,0,77.5,1907,5,196,0,0.146,0,0.015,0
"122","Jasper County, Texas",33257,0.066,0.594,57.2,59.5,69.5,22.7,1720,148,266,66,93.4,984,88,185,15,0.03,0.003,0.006,0
"123","Jeff Davis County, Texas",2194,0.441,0.802,80,0,100,0,958,0,11,0,55.9,766,0,11,0,0.349,0,0.005,0
"124","Jefferson County, Texas",234413,0.188,0.57,53.5,55.1,80.2,19.7,32812,5722,4688,711,81.2,17554,3153,3760,140,0.075,0.013,0.016,0.001
"125","Jim Hogg County, Texas",4850,0.815,0.749,74.8,0,0,0,3936,0,0,18,18.5,2944,0,0,0,0.607,0,0,0
"126","Jim Wells County, Texas",37681,0.523,0.769,77,17.1,99,32.5,19502,41,113,77,47.7,15017,7,112,25,0.399,0,0.003,0.001
"127","Johnson County, Texas",140482,0.142,0.621,62.6,41.2,70,7.7,18159,951,702,142,85.8,11368,392,491,11,0.081,0.003,0.003,0
"128","Jones County, Texas",19218,0.199,0.56,55.9,67.1,59.2,100,3671,70,77,7,80.1,2052,47,46,7,0.107,0.002,0.002,0
"129","Karnes County, Texas",14132,0.382,0.707,70.2,0,80.2,16.7,5146,0,212,42,61.8,3612,0,170,7,0.256,0,0.012,0
"130","Kaufman County, Texas",95697,0.144,0.536,51.7,65.6,75.8,19.9,12436,688,478,166,85.6,6429,451,362,33,0.067,0.005,0.004,0
"131","Kendall County, Texas",31981,0.183,0.591,57.2,82.2,67.5,0,5018,202,640,0,81.7,2870,166,432,0,0.09,0.005,0.014,0
"132","Kenedy County, Texas",431,0.216,0.548,55.4,0,0,100,92,0,0,1,78.4,51,0,0,1,0.118,0,0,0.002
"133","Kent County, Texas",782,0.055,0.512,51.2,0,0,0,43,0,0,0,94.5,22,0,0,0,0.028,0,0,0
"134","Kerr County, Texas",46896,0.183,0.679,68,55.8,73.5,0,7942,242,375,7,81.7,5401,135,276,0,0.115,0.003,0.006,0
"135","Kimble County, Texas",4358,0.232,0.679,68.1,0,60,0,990,0,22,0,76.8,674,0,13,0,0.155,0,0.003,0
"136","King County, Texas",227,0.123,0.643,85.7,0,0,0,21,0,7,0,87.7,18,0,0,0,0.079,0,0,0
"137","Kinney County, Texas",3343,0.558,0.761,77.4,36.7,100,0,1716,90,57,0,44.2,1328,33,57,0,0.397,0.01,0.017,0
"138","Kleberg County, Texas",29423,0.5,0.726,73.4,61.4,57.9,47.5,13910,368,382,40,50,10210,226,221,19,0.347,0.008,0.008,0.001
"139","Knox County, Texas",3433,0.211,0.585,58.2,0,71.4,0,708,0,14,1,78.9,412,0,10,0,0.12,0,0.003,0
"140","Lamar County, Texas",46515,0.067,0.594,61.9,21.5,62,0,2136,219,744,23,93.3,1322,47,461,0,0.028,0.001,0.01,0
"141","Lamb County, Texas",12819,0.371,0.625,62.4,70.6,81.8,0,4734,17,13,0,62.9,2954,12,11,0,0.23,0.001,0.001,0
"142","Lampasas County, Texas",18572,0.136,0.666,65.8,64.7,82,70.9,2014,116,316,79,86.4,1325,75,259,56,0.071,0.004,0.014,0.003
"143","La Salle County, Texas",6294,0.632,0.605,60.3,100,54.5,0,3944,20,13,0,36.8,2378,20,7,0,0.378,0.003,0.001,0
"144","Lavaca County, Texas",18050,0.176,0.743,68.9,66.7,90.2,0,2338,21,812,0,82.4,1611,14,732,0,0.089,0.001,0.041,0
"145","Lee County, Texas",15568,0.197,0.582,52.8,100,84.7,0,2597,75,374,34,80.3,1371,75,317,0,0.088,0.005,0.02,0
"146","Leon County, Texas",15784,0.093,0.394,39.8,0,13.6,0,1442,0,16,0,90.7,574,0,2,0,0.036,0,0,0
"147","Liberty County, Texas",70451,0.164,0.663,66.1,59.5,70.1,0,10631,158,705,21,83.6,7027,94,494,0,0.1,0.001,0.007,0
"148","Limestone County, Texas",21835,0.176,0.32,30.8,38.8,53.7,39.3,3587,103,131,28,82.4,1105,40,70,11,0.051,0.002,0.003,0.001
"149","Lipscomb County, Texas",3008,0.249,0.535,52,0,100,0,725,1,12,13,75.1,377,0,12,0,0.125,0,0.004,0
"150","Live Oak County, Texas",10971,0.283,0.732,73.3,47.7,100,7.7,2939,88,66,13,71.7,2154,42,66,1,0.196,0.004,0.006,0
"151","Llano County, Texas",18333,0.062,0.524,52.7,100,36.4,0,1056,14,73,0,93.8,557,14,27,0,0.03,0.001,0.001,0
"152","Loving County, Texas",85,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"153","Lubbock County, Texas",258475,0.217,0.746,74.8,59.4,86.2,16.6,49119,3233,2843,859,78.3,36741,1920,2451,143,0.142,0.007,0.009,0.001
"154","Lynn County, Texas",5467,0.344,0.654,68.6,0,14.7,0,1760,0,115,4,65.6,1207,0,17,0,0.221,0,0.003,0
"155","McCulloch County, Texas",7761,0.19,0.665,65.3,100,100,0,1425,44,8,0,81,931,44,8,0,0.12,0.006,0.001,0
"156","McLennan County, Texas",217932,0.188,0.565,55,49.7,80,38.5,35552,2206,2833,351,81.2,19554,1096,2266,135,0.09,0.005,0.01,0.001
