"","Geographic.Area.Name","Estimate..Total..Population.5.years.and.over","NonEnglish_Language_Estimate","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","English_Monolangual","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Other_Langual_Not_Bilingual","Overall_Bilingual","Percent_of_Spanish_Bilangual","Percent_of_Asian_Pacific_Bilangual","Percent_of_IndoEuro_Bilangual","Percent_of_Other_Bilangual","Percent_Overall_Bilingual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"60","Deaf Smith County, Texas",16996,9502,9464,13,18,7,7494,6876,0,18,7,2601,6901,0.727,0,1,1,0.406,0.405,0,0.001,0
"61","Delta County, Texas",4887,138,119,10,9,0,4749,71,10,9,0,48,90,0.597,1,1,0,0.018,0.015,0.002,0.002,0
"62","Denton County, Texas",861332,201946,110530,50040,31305,10071,659386,70799,30453,24431,8690,67573,134373,0.641,0.609,0.78,0.863,0.156,0.082,0.035,0.028,0.01
"63","DeWitt County, Texas",18584,3133,2932,80,114,7,15451,2105,43,110,0,875,2258,0.718,0.537,0.965,0,0.122,0.113,0.002,0.006,0
"64","Dickens County, Texas",1462,235,223,1,11,0,1227,168,0,11,0,56,179,0.753,0,1,0,0.122,0.115,0,0.008,0
"65","Dimmit County, Texas",8115,4735,4634,49,16,36,3380,3154,46,7,36,1492,3243,0.681,0.939,0.438,1,0.4,0.389,0.006,0.001,0.004
"66","Donley County, Texas",3171,207,155,22,29,1,2964,99,22,29,1,56,151,0.639,1,1,1,0.048,0.031,0.007,0.009,0
"67","Duval County, Texas",9291,5274,5235,0,39,0,4017,4477,0,39,0,758,4516,0.855,0,1,0,0.486,0.482,0,0.004,0
"68","Eastland County, Texas",16824,2041,1853,120,66,2,14783,1368,109,66,1,497,1544,0.738,0.908,1,0.5,0.092,0.081,0.006,0.004,0
"69","Ector County, Texas",148224,71131,68241,1050,861,979,77093,47736,737,665,907,21086,50045,0.7,0.702,0.772,0.926,0.338,0.322,0.005,0.004,0.006
"70","Edwards County, Texas",1335,560,560,0,0,0,775,453,0,0,0,107,453,0.809,0,0,0,0.339,0.339,0,0,0
"71","Ellis County, Texas",182937,34491,31785,626,1164,916,148446,20512,386,1031,697,11865,22626,0.645,0.617,0.886,0.761,0.124,0.112,0.002,0.006,0.004
"72","El Paso County, Texas",803798,556832,541274,6958,6452,2148,246966,315836,4248,4994,1450,230304,326528,0.584,0.611,0.774,0.675,0.406,0.393,0.005,0.006,0.002
"73","Erath County, Texas",40308,6740,5823,334,556,27,33568,3332,175,535,27,2671,4069,0.572,0.524,0.962,1,0.101,0.083,0.004,0.013,0.001
"74","Falls County, Texas",16158,2499,2042,0,286,171,13659,1148,0,217,151,983,1516,0.562,0,0.759,0.883,0.094,0.071,0,0.013,0.009
"75","Fannin County, Texas",34259,3575,3273,92,170,40,30684,2117,43,119,40,1256,2319,0.647,0.467,0.7,1,0.068,0.062,0.001,0.003,0.001
"76","Fayette County, Texas",23381,4192,3754,48,390,0,19189,2886,48,341,0,917,3275,0.769,1,0.874,0,0.14,0.123,0.002,0.015,0
"77","Fisher County, Texas",3444,568,547,9,12,0,2876,390,0,12,0,166,402,0.713,0,1,0,0.117,0.113,0,0.003,0
"78","Floyd County, Texas",5047,1980,1941,16,23,0,3067,1368,16,23,0,573,1407,0.705,1,1,0,0.279,0.271,0.003,0.005,0
"79","Foard County, Texas",1031,48,46,2,0,0,983,29,1,0,0,18,30,0.63,0.5,0,0,0.029,0.028,0.001,0,0
"80","Fort Bend County, Texas",779814,316206,134762,87000,64458,29986,463608,90526,51208,48703,25642,100127,216079,0.672,0.589,0.756,0.855,0.277,0.116,0.066,0.062,0.033
"81","Franklin County, Texas",9682,1233,1124,15,94,0,8449,783,15,72,0,363,870,0.697,1,0.766,0,0.09,0.081,0.002,0.007,0
"82","Freestone County, Texas",18564,2122,2030,21,58,13,16442,1499,13,58,13,539,1583,0.738,0.619,1,1,0.085,0.081,0.001,0.003,0.001
