"","County","Total_Pop","Total_Below_Line","Total_Children_Below_Line","Only_English","Spanish","Asian_Pacific_Lang","Other_IndoEuro_Lang","Other_Lang","Region"
"144","Lavaca",18710,1732,392,336,56,0,0,0,"Alamo"
"145","Lee",16054,1995,228,94,131,0,3,0,"Capitol"
"146","Leon",15013,2140,550,401,149,0,0,0,"Central Texas"
"147","Liberty",80205,13651,4315,1865,2431,0,19,0,"Gulf Coast"
"148","Limestone",20103,4227,1195,850,330,15,0,0,"Central Texas"
"149","Lipscomb",2758,353,102,33,66,0,3,0,"High Plains"
"150","Live Oak",9284,1853,386,313,68,0,5,0,"South Texas"
"151","Llano",20673,2351,691,498,183,0,10,0,"Capitol"
"152","Loving",73,5,0,0,0,0,0,0,"West Texas"
"153","Lubbock",279574,47369,8845,7063,1630,56,62,34,"High Plains"
"154","Lynn",5183,929,328,235,92,1,0,0,"High Plains"
"155","McCulloch",7051,889,92,92,0,0,0,0,"West Texas"
"156","McLennan",234377,40951,9916,6971,2860,66,19,0,"Central Texas"
"157","McMullen",620,92,31,31,0,0,0,0,"South Texas"
"158","Madison",10450,1283,255,157,98,0,0,0,"Central Texas"
"159","Marion",9223,1350,269,269,0,0,0,0,"Upper East"
"160","Martin",4837,785,314,250,52,0,12,0,"West Texas"
"161","Mason",3610,195,0,0,0,0,0,0,"West Texas"
"162","Matagorda",33164,7072,2261,1214,1047,0,0,0,"Gulf Coast"
"163","Maverick",52438,12038,4172,327,3830,0,0,15,"South Texas"
"164","Medina",46213,4505,1401,1370,31,0,0,0,"Alamo"
"165","Menard",1841,419,58,58,0,0,0,0,"West Texas"
"166","Midland",153633,15848,4363,1689,2579,77,0,18,"West Texas"
"167","Milam",23160,3189,866,718,148,0,0,0,"Central Texas"
"168","Mills",4223,291,45,45,0,0,0,0,"Central Texas"
"169","Mitchell",6817,1008,55,55,0,0,0,0,"Northwest"
"170","Montague",18815,2415,666,598,68,0,0,0,"Northwest"
"171","Montgomery",586213,48878,12501,7135,5135,55,99,77,"Gulf Coast"
"172","Moore",19186,2253,520,276,135,101,0,8,"High Plains"
"173","Morris",11145,1735,390,390,0,0,0,0,"Upper East"
"174","Motley",1147,113,12,12,0,0,0,0,"High Plains"
"175","Nacogdoches",55643,12283,2959,2393,566,0,0,0,"Southeast"
"176","Navarro",48303,7829,2210,1258,925,27,0,0,"Metroplex"
"177","Newton",11595,2728,736,736,0,0,0,0,"Southeast"
"178","Nolan",13333,2113,396,336,60,0,0,0,"Northwest"
"179","Nueces",323534,54091,15491,13659,1811,21,0,0,"South Texas"
"180","Ochiltree",9076,1089,325,150,175,0,0,0,"High Plains"
"181","Oldham",1726,280,42,42,0,0,0,0,"High Plains"
"182","Orange",78409,8733,2175,1901,267,7,0,0,"Southeast"
"183","Palo Pinto",26586,4127,938,674,264,0,0,0,"Metroplex"
"184","Panola",20815,2698,830,613,217,0,0,0,"Upper East"
"185","Parker",140104,11008,2438,2092,279,18,49,0,"Metroplex"
"186","Parmer",9005,839,202,68,134,0,0,0,"High Plains"
"187","Pecos",11764,2650,1095,927,168,0,0,0,"West Texas"
"188","Polk",44244,6849,1831,1720,107,0,0,4,"Southeast"
"189","Potter",103100,20378,6468,4151,1565,458,0,294,"High Plains"
"190","Presidio",5658,2240,1045,205,840,0,0,0,"Upper Rio Grande"
"191","Rains",11643,1287,239,239,0,0,0,0,"Upper East"
"192","Randall",130392,11925,2478,2144,265,40,13,16,"High Plains"
"193","Reagan",2986,209,43,16,27,0,0,0,"West Texas"
"194","Real",2444,575,140,139,1,0,0,0,"South Texas"
"195","Red River",10730,2136,464,464,0,0,0,0,"Upper East"
"196","Reeves",12062,2363,692,481,211,0,0,0,"West Texas"
"197","Refugio",6176,954,270,153,117,0,0,0,"South Texas"
"198","Roberts",741,112,36,36,0,0,0,0,"High Plains"
"199","Robertson",15641,2130,400,331,69,0,0,0,"Central Texas"
"200","Rockwall",103076,4250,1107,689,300,104,0,14,"Metroplex"
"201","Runnels",9032,1040,244,193,51,0,0,0,"Northwest"
"202","Rusk",44879,5676,1659,1115,544,0,0,0,"Upper East"
"203","Sabine",9401,1626,252,252,0,0,0,0,"Southeast"
"204","San Augustine",7384,1985,453,340,113,0,0,0,"Southeast"
"205","San Jacinto",26163,4499,1161,950,211,0,0,0,"Southeast"
"206","San Patricio",63368,9320,2648,2098,490,0,60,0,"South Texas"
"207","San Saba",4910,626,148,91,57,0,0,0,"Central Texas"
"208","Schleicher",2257,311,53,20,33,0,0,0,"West Texas"
"209","Scurry",13837,1585,420,300,120,0,0,0,"Northwest"
"210","Shackelford",2955,316,59,58,1,0,0,0,"Northwest"
"211","Shelby",22315,4925,1527,1256,271,0,0,0,"Southeast"
"212","Sherman",2239,167,56,2,54,0,0,0,"High Plains"
"213","Smith",213639,25850,6680,4577,1993,64,46,0,"Upper East"
"214","Somervell",8797,660,118,34,33,0,51,0,"Metroplex"
"215","Starr",59057,18818,6171,579,5592,0,0,0,"South Texas"
"216","Stephens",8276,1346,387,357,30,0,0,0,"Northwest"
"217","Sterling",1230,24,0,0,0,0,0,0,"West Texas"
"218","Stonewall",1148,87,18,18,0,0,0,0,"Northwest"
"219","Sutton",3143,502,201,90,111,0,0,0,"West Texas"
"220","Swisher",5954,1684,500,321,179,0,0,0,"High Plains"
"221","Tarrant",1947414,205188,59761,33605,20778,1064,1195,3119,"Metroplex"
"222","Taylor",127031,17925,4016,3273,454,49,134,106,"Northwest"
"223","Terrell",851,55,0,0,0,0,0,0,"West Texas"
"224","Terry",10170,2218,962,792,80,0,90,0,"High Plains"
"225","Throckmorton",1322,159,41,33,0,0,8,0,"Northwest"
"226","Titus",28760,5011,1747,591,1156,0,0,0,"Upper East"
"227","Tom Green",106109,11618,2753,2281,472,0,0,0,"West Texas"
"228","Travis",1189349,131158,25883,11033,13271,361,333,885,"Capitol"
"229","Trinity",12883,1792,458,412,46,0,0,0,"Southeast"
"230","Tyler",16991,3048,1006,961,35,0,10,0,"Southeast"
"231","Upshur",38258,5697,1387,1330,21,36,0,0,"Upper East"
"232","Upton",3117,593,187,164,23,0,0,0,"West Texas"
"233","Uvalde",22322,5326,1686,1228,458,0,0,0,"South Texas"
"234","Val Verde",42066,6586,1496,616,880,0,0,0,"South Texas"
"235","Van Zandt",55650,7075,1577,1350,218,9,0,0,"Upper East"
"236","Victoria",83639,13465,3490,2547,943,0,0,0,"Alamo"
"237","Walker",57848,10931,1707,1102,562,18,25,0,"Gulf Coast"
"238","Waller",49439,6460,1286,871,400,0,15,0,"Gulf Coast"
"239","Ward",10368,1415,501,426,75,0,0,0,"West Texas"
"240","Washington",31656,3609,713,591,122,0,0,0,"Central Texas"
"241","Webb",241883,49541,17151,1890,15095,166,0,0,"South Texas"
"242","Wharton",38164,5469,1372,687,685,0,0,0,"Gulf Coast"
"243","Wheeler",4597,802,203,114,89,0,0,0,"High Plains"
"244","Wichita",109423,16732,4185,3692,481,0,12,0,"Northwest"
"245","Wilbarger",11358,2166,682,479,203,0,0,0,"Northwest"
"246","Willacy",17685,4659,1142,481,661,0,0,0,"South Texas"
"247","Williamson",575434,36195,7775,5228,1892,137,216,302,"Capitol"
"248","Wilson",46923,4842,1132,845,263,0,24,0,"Alamo"
"249","Winkler",6979,904,372,345,27,0,0,0,"West Texas"
"250","Wise",64714,5852,1595,1354,225,11,5,0,"Metroplex"
"251","Wood",41587,5289,1007,857,150,0,0,0,"Upper East"
"252","Yoakum",6931,874,338,50,255,0,33,0,"High Plains"
"253","Young",16622,2457,824,659,165,0,0,0,"Northwest"
"254","Zapata",12621,4443,1735,291,1444,0,0,0,"South Texas"
"255","Zavala",8937,2690,1249,961,288,0,0,0,"South Texas"
