Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Income in the past 12 months below poverty level,Margin of Error!!Total!!Income in the past 12 months below poverty level,Estimate!!Total!!Income in the past 12 months below poverty level!!5 to 17 years,Margin of Error!!Total!!Income in the past 12 months below poverty level!!5 to 17 years,Estimate!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak only English,Margin of Error!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak only English,Estimate!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak Spanish,Margin of Error!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak Spanish,Estimate!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak other Indo-European languages,Margin of Error!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak other Indo-European languages,Estimate!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak Asian and Pacific Island languages,Margin of Error!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak Asian and Pacific Island languages,Estimate!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak other languages,Margin of Error!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak other languages,Estimate!!Total!!Income in the past 12 months below poverty level!!18 years and over,Margin of Error!!Total!!Income in the past 12 months below poverty level!!18 years and over,Estimate!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak only English,Margin of Error!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak only English,Estimate!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak Spanish,Margin of Error!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak Spanish,Estimate!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak other Indo-European languages,Margin of Error!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak other Indo-European languages,Estimate!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak Asian and Pacific Island languages,Margin of Error!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak Asian and Pacific Island languages,Estimate!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak other languages,Margin of Error!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak other languages,Estimate!!Total!!Income in the past 12 months at or above poverty level,Margin of Error!!Total!!Income in the past 12 months at or above poverty level,Estimate!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak only English,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak only English,Estimate!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak Spanish,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak Spanish,Estimate!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak other Indo-European languages,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak other Indo-European languages,Estimate!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak Asian and Pacific Island languages,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak Asian and Pacific Island languages,Estimate!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak other languages,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak other languages,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 years and over,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!18 years and over,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak only English,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak only English,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak Spanish,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak Spanish,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak other Indo-European languages,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak other Indo-European languages,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak Asian and Pacific Island languages,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak Asian and Pacific Island languages,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak other languages,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak other languages
0400000US48,Texas,22702240,2503,3735420,24142,1144194,11731,526077,8171,588200,8638,10657,1189,12077,1069,7183,1361,2591226,15329,1319896,11312,1143941,10604,48837,2505,58162,2412,20390,1710,18966820,24796,3718030,12323,2595706,11877,970221,8433,55762,2345,78740,2347,17601,1673,15248790,15641,10356632,17047,4009994,10846,346915,6070,437619,4462,97630,3212
0500000US48001,"Anderson County, Texas",44568,664,8249,1035,2022,370,1386,314,588,233,0,30,48,54,0,30,6227,864,5159,813,989,270,28,48,51,55,0,30,36319,1185,6212,376,5428,307,742,203,0,30,38,31,4,11,30107,1000,27743,969,2168,423,25,23,123,72,48,47
0500000US48003,"Andrews County, Texas",13526,140,1930,464,716,266,455,247,261,169,0,20,0,20,0,20,1214,263,574,188,613,229,0,20,27,27,0,20,11596,509,2283,330,1301,251,904,245,22,35,56,58,0,20,9313,265,5717,252,3457,269,6,16,133,76,0,20
0500000US48005,"Angelina County, Texas",77157,364,13757,1371,4461,744,2980,643,1451,412,30,50,0,30,0,30,9296,839,7282,763,1986,415,27,31,0,30,1,2,63400,1462,11937,744,9898,668,2039,400,0,30,0,30,0,30,51463,928,44068,904,6749,525,360,145,230,135,56,59
0500000US48007,"Aransas County, Texas",21653,193,3562,717,870,313,573,304,297,191,0,24,0,24,0,24,2692,532,1882,444,739,228,25,31,46,54,0,24,18091,752,2372,316,2108,280,242,152,0,24,22,41,0,24,15719,561,13336,525,1968,303,92,105,257,96,66,80
0500000US48009,"Archer County, Texas",8416,47,912,229,241,92,225,91,15,15,0,18,1,5,0,18,671,162,600,157,70,41,0,18,1,2,0,18,7504,236,1449,92,1339,97,110,34,0,18,0,18,0,18,6055,168,5674,172,329,71,15,16,37,44,0,18
0500000US48011,"Armstrong County, Texas",1642,111,225,96,53,32,11,15,42,30,0,13,0,13,0,13,172,77,133,63,39,42,0,13,0,13,0,13,1417,120,246,57,243,58,0,13,0,13,3,5,0,13,1171,99,1159,97,5,12,3,4,4,6,0,13
0500000US48013,"Atascosa County, Texas",41290,161,6729,987,2052,431,1205,344,847,270,0,27,0,27,0,27,4677,703,2021,493,2655,502,1,2,0,27,0,27,34561,999,7397,430,5397,502,1929,403,39,55,0,27,32,53,27164,719,16049,740,10928,655,73,63,71,64,43,59
0500000US48015,"Austin County, Texas",26339,54,2290,491,602,302,393,181,209,223,0,24,0,24,0,24,1688,282,1349,285,308,156,31,30,0,24,0,24,24049,497,4713,301,3712,247,992,319,9,12,0,24,0,24,19336,299,15813,505,3067,402,422,123,34,33,0,24
0500000US48017,"Bailey County, Texas",6387,94,660,287,154,113,21,39,133,94,0,18,0,18,0,18,506,221,253,152,253,136,0,18,0,18,0,18,5727,315,1491,179,730,267,761,296,0,18,0,18,0,18,4236,253,2431,453,1805,393,0,18,0,18,0,18
0500000US48019,"Bandera County, Texas",19301,110,2885,604,629,283,541,259,88,80,0,24,0,24,0,24,2256,445,2046,411,179,154,31,37,0,24,0,24,16416,605,2316,283,2148,296,168,95,0,24,0,24,0,24,14100,436,12490,431,1396,292,122,72,92,12,0,24
0500000US48021,"Bastrop County, Texas",66786,297,8966,1350,2752,645,1810,503,942,345,0,30,0,30,0,30,6214,858,4114,602,2100,500,0,30,0,30,0,30,57820,1367,11406,651,8402,701,2922,502,9,16,73,58,0,30,46414,880,36344,847,9274,805,339,130,397,131,60,70
0500000US48023,"Baylor County, Texas",3440,108,451,127,16,26,16,26,0,13,0,13,0,13,0,13,435,125,398,123,37,34,0,13,0,13,0,13,2989,180,478,82,425,79,53,49,0,13,0,13,0,13,2511,160,2378,178,101,65,32,43,0,13,0,13
0500000US48025,"Bee County, Texas",22091,456,4880,693,1597,406,1401,400,132,78,64,97,0,27,0,27,3283,452,1529,357,1684,345,64,69,6,14,0,27,17211,836,3238,405,2693,398,529,217,16,23,0,27,0,27,13973,597,8692,519,5197,464,18,25,38,38,28,51
0500000US48027,"Bell County, Texas",272256,625,36753,2330,11598,1197,9304,1129,1691,402,440,272,150,84,13,24,25155,1509,19553,1202,4104,561,723,317,752,233,23,29,235503,2399,47142,1252,40357,1281,5374,762,740,243,547,255,124,110,188361,1617,155798,1791,22863,1262,4359,523,4633,598,708,294
0500000US48029,"Bexar County, Texas",1553196,1612,262894,5275,79960,2704,48575,2357,30110,1976,402,208,272,164,601,388,182934,3475,79742,2519,96194,3002,2668,549,3035,687,1295,324,1290302,5334,248972,2697,178463,3056,64486,2125,2313,346,2519,367,1191,395,1041330,3612,585678,4357,414684,4430,17789,1191,19469,998,3710,690
0500000US48031,"Blanco County, Texas",9696,58,832,209,169,86,133,73,36,37,0,20,0,20,0,20,663,165,499,137,157,102,7,10,0,20,0,20,8864,232,1502,95,1336,111,166,81,0,20,0,20,0,20,7362,186,6280,209,980,125,90,66,7,11,5,15
0500000US48033,"Borden County, Texas",578,92,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,578,92,134,45,107,41,27,23,0,13,0,13,0,13,444,69,413,68,28,30,3,5,0,13,0,13
0500000US48035,"Bosque County, Texas",16664,127,2178,315,549,147,341,124,203,98,0,20,5,7,0,20,1629,215,1242,200,374,100,2,3,11,15,0,20,14486,323,2514,151,2119,129,395,92,0,20,0,20,0,20,11972,232,10794,232,1140,137,26,16,9,13,3,4
0500000US48037,"Bowie County, Texas",81959,503,14583,1229,4042,657,3908,649,117,85,17,19,0,30,0,30,10541,842,9852,805,622,206,31,35,36,47,0,30,67376,1281,12220,677,11490,671,603,189,10,17,117,60,0,30,55156,928,51985,914,2069,354,492,225,441,122,169,210
0500000US48039,"Brazoria County, Texas",278062,619,29501,2167,8980,1197,5067,970,3872,950,5,8,36,46,0,30,20521,1326,12675,951,7036,1203,345,285,457,290,8,20,248561,2237,52585,1227,41773,1413,7915,873,986,452,1837,357,74,88,195976,1433,148588,1583,33506,1392,4685,854,8187,660,1010,422
0500000US48041,"Brazos County, Texas",166604,915,50156,2048,6768,749,4408,661,2015,380,146,123,125,77,74,112,43388,1636,33117,1415,6298,729,1551,349,2189,445,233,151,116448,2020,19916,768,15940,748,3065,453,341,154,457,140,113,84,96532,1600,75282,1559,14891,815,3074,466,2922,407,363,163
0500000US48043,"Brewster County, Texas",8459,34,1057,286,216,142,101,117,115,87,0,18,0,18,0,18,841,219,368,109,473,173,0,18,0,18,0,18,7402,295,1105,152,844,147,219,79,0,18,42,50,0,18,6297,225,3930,230,2264,234,59,48,44,52,0,18
0500000US48045,"Briscoe County, Texas",1527,114,291,98,73,39,42,28,31,26,0,13,0,13,0,13,218,71,103,39,115,51,0,13,0,13,0,13,1236,117,152,45,110,36,42,25,0,13,0,13,0,13,1084,101,966,97,118,44,0,13,0,13,0,13
0500000US48047,"Brooks County, Texas",6580,163,2405,548,603,272,405,235,198,126,0,18,0,18,0,18,1802,388,345,175,1403,365,0,18,54,81,0,18,4175,563,740,184,513,178,227,138,0,18,0,18,0,18,3435,496,765,313,2652,371,11,19,7,12,0,18
0500000US48049,"Brown County, Texas",33455,401,5281,678,1341,334,1252,309,89,77,0,27,0,27,0,27,3940,433,3619,402,316,131,5,8,0,27,0,27,28174,802,5003,366,4655,369,337,149,11,18,0,27,0,27,23171,577,21247,524,1713,297,97,88,114,96,0,27
0500000US48051,"Burleson County, Texas",15809,75,2131,457,454,191,420,178,34,47,0,20,0,20,0,20,1677,322,1497,275,180,143,0,20,0,20,0,20,13678,465,2490,188,2138,247,315,142,37,47,0,20,0,20,11188,337,9526,364,1369,235,260,159,33,30,0,20
0500000US48053,"Burnet County, Texas",39729,276,5874,877,1578,328,870,329,708,209,0,27,0,27,0,27,4296,668,2856,534,1428,338,0,27,0,27,12,17,33855,881,5644,340,5183,349,418,177,38,42,5,10,0,27,28211,687,25400,652,2422,377,275,146,105,93,9,14
0500000US48055,"Caldwell County, Texas",33106,323,6186,1018,1848,489,1486,473,362,179,0,27,0,27,0,27,4338,658,3034,534,1283,363,6,12,13,17,2,4,26920,1042,5188,491,4215,478,964,302,0,27,9,14,0,27,21732,712,14511,641,7116,513,62,56,43,52,0,27
0500000US48057,"Calhoun County, Texas",19582,175,3086,504,796,254,519,212,277,174,0,24,0,24,0,24,2290,374,979,232,1236,343,40,47,35,39,0,24,16496,497,3208,269,2642,300,464,188,0,24,90,85,12,22,13288,383,9950,432,2899,407,62,40,361,106,16,24
0500000US48059,"Callahan County, Texas",12587,57,1822,441,506,190,506,190,0,20,0,20,0,20,0,20,1316,302,1265,302,51,29,0,20,0,20,0,20,10765,430,1846,187,1765,168,74,54,7,9,0,20,0,20,8919,299,8472,294,370,112,40,38,14,14,23,33
0500000US48061,"Cameron County, Texas",365380,599,121949,3909,44552,1732,10672,1128,33848,1639,32,34,0,30,0,30,77397,2559,14637,1516,62507,2491,137,80,72,45,44,36,243431,3943,51125,1732,19416,1285,31383,1510,154,98,172,87,0,30,192306,2570,53229,2015,136439,2483,934,230,1380,181,324,213
0500000US48063,"Camp County, Texas",11334,71,2294,433,845,202,556,128,289,139,0,20,0,20,0,20,1449,284,1030,236,411,159,0,20,0,20,8,12,9040,441,1582,202,1093,144,489,158,0,20,0,20,0,20,7458,290,6269,271,1120,198,38,40,9,15,22,33
0500000US48065,"Carson County, Texas",5781,61,382,147,83,62,83,62,0,18,0,18,0,18,0,18,299,102,287,100,6,9,0,18,6,10,0,18,5399,148,1135,67,1058,98,77,75,0,18,0,18,0,18,4264,103,3903,150,344,111,13,21,4,6,0,18
0500000US48067,"Cass County, Texas",27937,118,5322,615,1415,227,1283,226,132,85,0,27,0,27,0,27,3907,502,3667,479,160,99,55,80,25,26,0,27,22615,616,3745,229,3645,234,88,55,12,19,0,27,0,27,18870,510,18475,508,312,103,36,31,33,31,14,23
0500000US48069,"Castro County, Texas",7188,86,1657,346,468,148,138,94,330,149,0,18,0,18,0,18,1189,237,425,152,764,189,0,18,0,18,0,18,5531,352,1309,148,781,187,528,166,0,18,0,18,0,18,4222,247,2223,190,1981,232,6,10,12,16,0,18
0500000US48071,"Chambers County, Texas",31845,149,2701,561,621,240,431,211,190,152,0,27,0,27,0,27,2080,425,1671,355,376,195,33,43,0,27,0,27,29144,545,6709,231,5569,278,973,233,167,156,0,27,0,27,22435,437,18497,532,3297,391,398,232,189,112,54,84
0500000US48073,"Cherokee County, Texas",44203,298,10223,826,3227,373,1665,355,1562,276,0,30,0,30,0,30,6996,603,5114,524,1849,376,0,30,33,49,0,30,33980,844,6044,396,5172,370,847,257,25,27,0,30,0,30,27936,641,24917,652,2836,420,88,65,66,53,29,44
0500000US48075,"Childress County, Texas",5255,234,815,316,222,148,159,125,63,93,0,18,0,18,0,18,593,219,506,216,53,45,34,51,0,18,0,18,4440,359,863,193,863,193,0,18,0,18,0,18,0,18,3577,336,3246,365,282,175,36,52,13,19,0,18
0500000US48077,"Clay County, Texas",10031,66,793,342,195,162,194,162,1,4,0,20,0,20,0,20,598,195,589,194,9,9,0,20,0,20,0,20,9238,354,1627,184,1567,180,46,36,14,20,0,20,0,20,7611,199,7397,209,160,61,50,50,4,7,0,20
0500000US48079,"Cochran County, Texas",2761,43,381,92,53,28,20,17,33,22,0,13,0,13,0,13,328,76,101,38,227,63,0,13,0,13,0,13,2380,95,560,40,340,57,192,52,28,35,0,13,0,13,1820,74,1117,67,677,62,24,32,2,4,0,13
0500000US48081,"Coke County, Texas",2946,49,336,108,65,40,52,34,13,19,0,13,0,13,0,13,271,77,220,67,51,32,0,13,0,13,0,13,2610,109,329,51,294,45,35,31,0,13,0,13,0,13,2281,76,2009,97,268,67,4,7,0,13,0,13
0500000US48083,"Coleman County, Texas",8097,106,2300,354,697,168,634,156,56,75,7,11,0,18,0,18,1603,276,1504,276,98,52,0,18,1,3,0,18,5797,357,688,149,682,149,0,18,6,11,0,18,0,18,5109,270,4912,256,176,77,18,26,3,5,0,18
0500000US48085,"Collin County, Texas",726523,449,53006,2824,14254,1311,7579,1064,4913,818,689,290,643,219,430,353,38752,1994,23022,1486,8860,1150,2982,644,2701,464,1187,506,673517,2910,150610,1380,120852,1776,14094,1092,5728,679,8343,708,1593,468,522907,2025,393489,2301,52419,1601,30485,1790,37759,1303,8755,981
0500000US48087,"Collingsworth County, Texas",2692,61,594,165,203,72,85,45,111,49,0,13,0,13,7,10,391,117,175,70,202,96,0,13,1,5,13,20,2098,170,382,106,318,95,64,49,0,13,0,13,0,13,1716,141,1412,111,282,105,22,25,0,13,0,13
0500000US48089,"Colorado County, Texas",19199,124,2956,511,766,188,343,167,423,193,0,24,0,24,0,24,2190,398,1366,312,766,253,58,71,0,24,0,24,16243,525,2878,182,2410,135,439,139,17,29,12,15,0,24,13365,422,11006,412,2034,277,259,132,66,27,0,24
0500000US48091,"Comal County, Texas",101701,342,9380,1198,1978,626,1387,443,562,397,29,55,0,30,0,30,7402,826,4862,533,1985,565,479,363,50,72,26,42,92321,1263,17224,663,15074,722,1833,422,160,120,151,103,6,9,75097,884,62372,1056,10602,736,1647,365,411,135,65,54
0500000US48093,"Comanche County, Texas",12739,122,3195,514,863,186,432,137,431,150,0,20,0,20,0,20,2332,398,1453,281,842,219,37,34,0,20,0,20,9544,519,1507,195,1260,163,223,120,24,34,0,20,0,20,8037,400,7042,302,979,251,5,6,11,13,0,20
0500000US48095,"Concho County, Texas",2574,174,447,112,101,38,58,39,43,30,0,13,0,13,0,13,346,96,174,69,166,80,6,9,0,13,0,13,2127,190,311,39,303,36,8,11,0,13,0,13,0,13,1816,177,1550,179,263,96,3,5,0,13,0,13
0500000US48097,"Cooke County, Texas",34901,159,4533,632,1226,325,801,252,421,234,0,27,0,27,4,6,3307,430,2530,363,733,278,6,10,34,42,4,7,30368,660,5647,354,4647,325,960,234,40,37,0,27,0,27,24721,453,22048,409,2400,304,117,78,120,77,36,43
0500000US48099,"Coryell County, Texas",59190,991,7340,1009,2622,510,2419,457,167,141,31,32,5,11,0,30,4718,606,3888,545,716,316,65,48,49,46,0,30,51850,1296,11571,495,10447,563,756,287,169,112,199,129,0,30,40279,1073,34273,1080,3641,407,1475,302,817,219,73,63
0500000US48101,"Cottle County, Texas",1489,344,222,125,85,65,69,56,16,26,0,13,0,13,0,13,137,75,109,57,28,29,0,13,0,13,0,13,1267,308,161,71,159,71,2,5,0,13,0,13,0,13,1106,283,986,245,116,84,2,3,2,4,0,13
0500000US48103,"Crane County, Texas",3943,89,578,173,155,79,87,62,68,56,0,13,0,13,0,13,423,124,249,90,174,84,0,13,0,13,0,13,3365,180,779,78,385,87,394,65,0,13,0,13,0,13,2586,141,1346,125,1240,143,0,13,0,13,0,13
0500000US48105,"Crockett County, Texas",3269,195,497,217,132,132,102,126,30,50,0,13,0,13,0,13,365,147,174,92,190,87,1,2,0,13,0,13,2772,262,452,161,276,125,176,144,0,13,0,13,0,13,2320,203,1342,213,963,201,15,25,0,13,0,13
0500000US48107,"Crosby County, Texas",5481,62,1410,220,472,118,324,102,148,79,0,18,0,18,0,18,938,133,444,95,494,99,0,18,0,18,0,18,4071,220,782,119,655,102,127,57,0,18,0,18,0,18,3289,138,2144,119,1136,106,9,10,0,18,0,18
0500000US48109,"Culberson County, Texas",2207,72,527,194,36,29,13,15,23,25,0,13,0,13,0,13,491,186,65,47,426,180,0,13,0,13,0,13,1680,230,503,148,282,110,221,126,0,13,0,13,0,13,1177,185,419,129,737,167,15,23,0,13,6,9
0500000US48111,"Dallam County, Texas",6044,49,713,278,251,146,70,68,102,91,79,96,0,18,0,18,462,165,184,71,233,149,45,44,0,18,0,18,5331,272,1194,151,835,214,263,185,96,136,0,18,0,18,4137,168,2856,185,1177,228,73,69,31,19,0,18
0500000US48113,"Dallas County, Texas",2155019,1353,381873,7262,124685,3292,50803,2390,69497,2297,1008,300,1879,485,1498,412,257188,5065,128196,3059,111882,3714,5016,718,7840,854,4254,791,1773146,7402,333342,3256,189999,3333,125419,2496,5292,667,9640,711,2992,622,1439804,5263,915972,4163,414109,3822,37747,1870,55378,1636,16598,1340
0500000US48115,"Dawson County, Texas",10504,293,1790,365,460,134,341,123,89,70,30,25,0,20,0,20,1330,278,518,156,784,234,28,38,0,20,0,20,8714,470,1782,141,1421,215,353,160,8,14,0,20,0,20,6932,394,4275,297,2576,325,81,56,0,20,0,20
0500000US48117,"Deaf Smith County, Texas",17188,101,2699,571,965,272,317,209,648,234,0,20,0,20,0,20,1734,351,357,153,1377,314,0,20,0,20,0,20,14489,578,3363,279,1989,254,1374,240,0,20,0,20,0,20,11126,375,5519,355,5387,356,34,30,36,26,150,166
0500000US48119,"Delta County, Texas",4827,65,780,206,219,101,158,91,57,64,0,18,0,18,4,8,561,148,541,155,18,35,0,18,0,18,2,4,4047,221,670,104,658,108,12,19,0,18,0,18,0,18,3377,165,3270,177,99,74,6,11,0,18,2,3
0500000US48121,"Denton County, Texas",605879,1057,49850,2765,11664,1286,6609,1095,4396,676,218,149,441,181,0,30,38186,1861,25545,1462,8500,949,649,216,2933,608,559,267,556029,2769,119851,1381,95497,1765,16558,1261,3103,451,4147,544,546,223,436178,1848,347045,1927,52914,1323,14846,1314,18671,1038,2702,391
0500000US48123,"DeWitt County, Texas",17208,224,2457,380,663,209,625,201,38,34,0,24,0,24,0,24,1794,252,1189,219,502,141,103,69,0,24,0,24,14751,460,2536,266,2397,280,139,88,0,24,0,24,0,24,12215,378,10132,345,1923,248,113,55,34,40,13,24
0500000US48125,"Dickens County, Texas",1917,114,411,107,102,61,69,55,33,24,0,13,0,13,0,13,309,77,200,74,108,44,0,13,1,2,0,13,1506,127,229,62,218,62,11,12,0,13,0,13,0,13,1277,101,1229,102,48,26,0,13,0,13,0,13
0500000US48127,"Dimmit County, Texas",9106,130,2191,520,690,274,500,230,190,100,0,20,0,20,0,20,1501,311,259,149,1242,309,0,20,0,20,0,20,6915,482,1495,254,776,233,719,198,0,20,0,20,0,20,5420,305,890,219,4454,362,37,51,0,20,39,55
0500000US48129,"Donley County, Texas",3161,113,472,121,175,68,170,69,5,9,0,13,0,13,0,13,297,75,244,77,34,26,18,14,1,3,0,13,2689,126,388,57,351,46,27,29,8,15,2,6,0,13,2301,95,2175,99,109,52,14,18,3,7,0,13
0500000US48131,"Duval County, Texas",10283,151,1923,386,478,190,402,186,76,57,0,20,0,20,0,20,1445,293,379,169,1066,278,0,20,0,20,0,20,8360,409,1643,210,1215,192,428,175,0,20,0,20,0,20,6717,317,1355,250,5356,350,0,20,6,11,0,20
0500000US48133,"Eastland County, Texas",16431,168,3259,525,651,172,558,206,93,116,0,20,0,20,0,20,2608,459,2276,430,332,124,0,20,0,20,0,20,13172,558,2275,222,2108,235,167,103,0,20,0,20,0,20,10897,447,10168,461,618,187,61,67,50,74,0,20
0500000US48135,"Ector County, Texas",123755,383,18346,1599,5409,765,2597,559,2798,514,14,21,0,30,0,30,12937,1033,5845,595,6990,857,81,67,10,21,11,18,105409,1616,21858,808,13825,716,7891,681,58,59,84,68,0,30,83551,1041,49532,921,32552,958,634,239,605,146,228,151
0500000US48137,"Edwards County, Texas",1920,131,382,174,112,81,43,59,69,48,0,13,0,13,0,13,270,123,83,44,187,108,0,13,0,13,0,13,1538,174,193,72,84,52,109,62,0,13,0,13,0,13,1345,148,762,130,583,167,0,13,0,13,0,13
0500000US48139,"Ellis County, Texas",136878,391,13812,1483,4559,712,2282,516,2247,497,8,12,0,30,22,44,9253,876,5333,611,3788,666,56,53,30,42,46,55,123066,1538,27194,712,22762,637,4095,571,122,74,152,82,63,65,95872,977,80073,845,14420,811,671,179,469,82,239,113
0500000US48141,"El Paso County, Texas",722216,854,166191,4322,56412,2125,10800,1057,45361,1974,84,68,122,81,45,48,109779,2863,14563,1072,93568,2817,596,169,897,261,155,116,556025,4439,116055,2166,45621,1578,69212,2049,711,264,376,152,135,84,439970,2895,116809,2055,312249,2944,5745,744,4177,547,990,329
0500000US48143,"Erath County, Texas",34038,294,7325,835,1187,318,606,237,581,204,0,27,0,27,0,27,6138,671,4770,579,1324,351,16,24,28,39,0,27,26713,892,4683,311,3771,271,840,197,28,45,44,76,0,27,22030,725,18790,692,2955,371,138,81,147,78,0,27
0500000US48145,"Falls County, Texas",14840,274,2897,495,745,214,534,193,211,94,0,20,0,20,0,20,2152,365,1760,312,365,137,27,26,0,20,0,20,11943,545,2054,224,1668,204,331,101,0,20,55,72,0,20,9889,432,8588,390,1155,189,78,62,68,68,0,20
0500000US48147,"Fannin County, Texas",29538,383,4383,576,811,208,665,188,143,92,0,27,3,7,0,27,3572,469,3176,422,326,143,52,54,18,22,0,27,25155,595,4657,216,4176,233,481,163,0,27,0,27,0,27,20498,511,19364,525,985,259,61,37,88,68,0,27
0500000US48149,"Fayette County, Texas",22610,145,2952,553,916,272,573,238,343,175,0,24,0,24,0,24,2036,367,1475,322,495,181,66,41,0,24,0,24,19658,552,3114,283,2536,303,562,170,16,19,0,24,0,24,16544,368,14068,411,1855,212,621,161,0,24,0,24
0500000US48151,"Fisher County, Texas",3671,50,515,124,115,51,88,42,27,36,0,13,0,13,0,13,400,98,253,71,144,63,3,4,0,13,0,13,3156,131,587,87,551,92,36,27,0,13,0,13,0,13,2569,132,2115,136,441,81,13,11,0,13,0,13
0500000US48153,"Floyd County, Texas",5801,81,1317,237,443,118,293,101,150,101,0,18,0,18,0,18,874,170,343,106,531,125,0,18,0,18,0,18,4484,263,929,136,733,120,196,64,0,18,0,18,0,18,3555,189,2250,137,1297,145,8,14,0,18,0,18
0500000US48155,"Foard County, Texas",1147,140,194,88,50,36,50,36,0,13,0,13,0,13,0,13,144,65,122,53,22,22,0,13,0,13,0,13,953,141,168,68,159,64,9,11,0,13,0,13,0,13,785,117,711,120,58,40,10,15,6,9,0,13
0500000US48157,"Fort Bend County, Texas",538005,646,42985,3043,13793,1443,6878,986,5203,904,917,317,330,157,465,318,29192,2047,13358,1323,10323,1140,2320,662,2149,493,1042,509,495020,3036,114258,1471,78643,1720,18564,1000,5894,804,9493,801,1664,493,380762,1997,235213,2893,66324,1782,29065,1882,41325,1710,8835,1406
0500000US48159,"Franklin County, Texas",9726,81,1254,319,432,148,297,115,135,101,0,20,0,20,0,20,822,228,597,193,225,133,0,20,0,20,0,20,8472,322,1473,144,1258,123,215,103,0,20,0,20,0,20,6999,228,6334,246,627,176,13,23,25,39,0,20
0500000US48161,"Freestone County, Texas",16903,222,2445,488,761,248,349,149,383,178,29,47,0,20,0,20,1684,300,1288,264,366,185,18,28,12,20,0,20,14458,528,2599,254,2478,249,114,71,0,20,0,20,7,14,11859,370,11121,357,642,225,58,54,11,24,27,45
0500000US48163,"Frio County, Texas",13482,335,3012,733,963,364,492,321,471,253,0,20,0,20,0,20,2049,450,416,172,1633,457,0,20,0,20,0,20,10470,729,2192,380,1468,288,724,249,0,20,0,20,0,20,8278,488,2994,409,5268,524,16,17,0,20,0,20
0500000US48165,"Gaines County, Texas",15697,55,2600,539,888,326,157,127,398,185,333,283,0,20,0,20,1712,342,478,212,795,221,409,217,30,53,0,20,13097,549,3290,324,1986,352,437,154,867,375,0,20,0,20,9807,354,5337,533,2342,338,2062,408,66,85,0,20
